Code,DOA,Name,PR Sup,DOB,Sex,Source,Status,End Date,Breed,Coat Colour,Litter,Age at Start,Duration
04-01-LD,2019-04-24,Diva,Catherine,2018-02-11,F,IGDB,GD,2019-12-13,LRx,,D,437,233
04-02-LE,2019-04-24,Earl,Catherine,2018-03-12,M,IGDB,AD,2019-11-29,LRx,,E,408,219
04-03-LD,2019-04-24,Douglas,Rose,2018-02-11,M,IGDB,W,2019-08-06,LRx,,D,437,104
04-04-LZ,2019-04-24,Zodiac,Rose,2018-04-06,M,Private breeder,GD,2019-10-25,LR,,Z,383,184
04-05-LF,2019-04-24,Fargo,Graham,2018-03-16,M,IGDB,GD,2019-11-25,LRx,,F,404,215
04-06-LF,2019-04-24,Frida,Graham,2018-03-16,F,IGDB,W,2019-08-02,LRx,,F,404,100
04-07-LE,2019-04-24,Elf,Frances,2018-03-12,M,IGDB,GD,2019-11-25,LRx,,E,408,215
04-08-LE,2019-04-24,Emmy,Graham,2018-03-12,F,IGDB,W,2019-08-19,LRx,,E,408,117
05-01-LD,2019-05-01,Dugg,Graham,2018-02-11,M,Home bred,AD,2019-10-25,LRxGR,,D,444,177
05-02-LF,2019-05-01,Flora,Graham,2018-03-16,F,Home bred,GD,2019-12-20,LRxGR,,F,411,233
05-03-LF,2019-05-01,Fawn,Catherine,2018-03-16,F,Home bred,GD,2019-11-25,LR,,F,411,208
05-04-LZ,2019-05-01,Zeb,Catherine,2018-04-06,M,Private breeder,W,2019-08-06,LR,,Z,390,97
05-05-LE,2019-05-01,Eldin,Rose,2018-03-12,M,Home bred,GD,2019-12-13,LRx,,E,415,226
05-11-LE,2019-05-15,Edrick,Rose,2018-03-12,M,IGDB,GD,2020-07-09,LRx,,E,429,421
05-12-LF,2019-05-15,Finesse,Rose,2018-03-16,F,IGDB,W,2019-07-03,LR,,F,425,49
05-13-LE,2019-05-15,Esme,Graham,2018-03-12,F,IGDB,GD,2019-12-13,LRx,,E,429,212
05-14-LE,2019-05-15,Ebbi,Graham,2018-03-12,F,IGDB,AD,2019-10-25,LRx,,E,429,163
05-15-LG,2019-05-15,Gaston,Graham,2018-04-15,M,IGDB,GD,2020-02-03,LRx,,G,395,264
05-21-LH,2019-05-30,Hugo,Frances,2018-05-11,M,IGDB,W,2019-07-05,LRxGR,,H,384,36
05-22-LE,2019-05-28,Eliza,Catherine,2018-03-12,F,IGDB,W,2019-11-12,LRx,,E,442,168
07-01-LG,2019-07-02,Goober,Graham,2018-04-15,M,IGDB,GD,2020-02-03,LRxGR,,G,443,216
07-02-LH,2019-07-02,Herbie,Graham,2018-05-11,M,IGDB,GD,,LRxGR,,H,417,0
07-03-LE,2019-07-02,Evie,Rose,2018-03-12,F,IGDB,GD,2020-02-02,LRxGR,,E,477,215
07-04-LZ,2019-07-02,Zac,Rose,2018-04-06,M,Private breeder,W,2019-10-25,LR,,Z,452,115
07-11-LZ,2019-07-29,Ziggy,Rose,2018-04-06,M,Private breeder,W,2019-08-13,LR,,Z,479,15
07-12-LG,2019-06-16,Gav,Rose,2018-04-15,M,Home bred,AD,2020-01-28,LRxGR,,G,427,226
07-13-LE,2019-07-30,Effie,Graham,2018-03-12,F,IGDB,GD,2020-02-03,LRxGR,,E,505,188
07-14-LG,2019-07-21,Gretel,Catherine,2018-04-15,F,IGDB,AD,2019-11-29,LRxGR,,G,462,131
07-15-LG,2019-07-29,Gilli,Frances,2018-04-15,F,IGDB,W,2019-10-01,LRxGR,,G,470,64
08-01-LH,2019-08-21,Harry,Rose,2018-05-11,M,IGDB,AD,2019-11-29,LRxGR,,H,467,100
08-02-LH,2019-08-21,Harvey,Rose,2018-05-11,M,IGDB,AD,2020-01-28,LRxGR,,H,467,160
08-03-LH,2019-08-21,Hans,Graham,2018-05-11,M,IGDB,AD,2020-02-12,LRxGR,,H,467,175
08-04-LH,2019-08-21,Harmony,Diana,2018-05-11,F,IGDB,AD,2019-11-29,LRxGR,,H,467,100
08-11-LJ,2019-08-28,Jira,Frances,2018-07-03,F,IGDB,GD,2020-02-03,LR,,J,421,159
08-12-LH,2019-08-28,Hayley,Frances,2018-05-11,F,IGDB,W,2019-12-04,LRxGR,,H,474,98
08-13-LJ,2019-08-28,Jojo,Frances,2018-07-03,F,IGDB,AD,2019-11-29,LR,,J,421,93
09-01-LI,2019-09-04,Irrie,Frances,2018-06-28,F,IGDB,GD,2020-07-27,LRxGR,,I,433,327
09-02-LJ,2019-09-04,Judson,Frances,2018-07-03,M,IGDB,GD,2020-06-08,LR,,J,428,278
09-03-LJ,2019-09-04,Josie,Diana,2018-07-03,F,Home bred,GD,2020-08-17,LR,,J,428,348
09-04-LJ,2019-09-04,Jazzi,"Rose, Diana",2018-07-03,F,Home bred,GD,2020-07-27,LR,,J,428,327
10-01-LF,2019-10-02,Fergus,Graham,2018-03-16,M,IGDB,AD,2020-01-28,LR,,F,565,118
10-02-LH,2019-10-02,Hollie,Graham,2018-05-11,F,IGDB,W,2019-11-26,LRxGR,,H,509,55
10-03-LJ,2019-10-17,July,Graham,2018-07-03,F,IGDB,AD,2020-06-08,LR,,J,471,235
10-04-LJ,2019-10-02,Jane,Graham,2018-07-03,F,IGDB,AD,2020-02-14,LR,,J,456,135
10-11-LJ,2019-10-07,Junior,Rose,2018-07-03,M,IGDB,GD,2020-07-27,LR,,J,461,294
10-12-LJ,2019-10-07,Joy,Rose,2018-07-03,F,IGDB,GD,2020-06-08,LR,,J,461,245
10-13-LK,2019-10-07,Kelvin,Rose,2018-08-02,M,IGDB,GD,2020-06-22,LRxGR,,K,431,259
10-15-LK,2019-10-09,Kirby,Mags,2018-08-02,M,IGDB,AD,2020-07-20,LRxGR,,K,433,285
10-14-LI,2019-10-17,Idris,Mags,2018-06-28,M,IGDB,W,2020-02-12,LRxGR,,I,476,118
10-31-LK,2019-10-24,Kacie,Graham,2018-08-02,F,IGDB,AD,2020-06-08,LRxGR,,K,448,228
11-01-LM,2019-11-04,Mac,DSM,2018-08-25,M,IGDB,W,2020-01-03,LRx,,M,436,60
11-02-IM,2019-11-04,Meeko,DSM,2018-08-25,M,IGDB,W,2020-05-29,LRx,,M,436,207
11-11-IK,2019-11-12,Kain,Mags,2018-08-02,M,IGDB,AD,2020-07-15,LRxGR,,K,467,246
11-12-IM,2019-11-12,Mara,Mags,2018-08-25,F,IGDB,W,2020-01-03,LRxGR,,M,444,52
11-21-IK,2019-11-19,Katie,Mags,2018-08-02,F,IGDB,AD,2020-06-08,LRxGR,,K,474,202
11-22-IM,2019-11-19,Meg,Mags,2018-08-25,F,IGDB,W,2020-01-31,LRxGR,,M,451,73
11-23-IT,2019-11-19,Tosh,Mags,2018-09-25,M,GDBUK,W,2020-01-20,GR,,T,420,62
11-24-IK,2019-11-20,Kaiser,Graham,2018-08-02,M,IGDB,GD,2020-07-20,LRxGR,,K,475,243
11-25-IJ,2019-11-20,Jessie,Graham,2018-07-03,F,IGDB,GD,2020-07-31,LRxGR,,J,505,254
11-26-IL,2019-11-19,Lexie,DSM,2018-08-17,F,IGDB,AD,2020-07-20,LR,,L,459,244
11-27-II,2019-11-18,Illana,DSM,2018-06-28,F,IGDB,AD,2020-07-15,LRx,,I,508,240
11-28-IZ,2019-11-18,Zander,Rose,2018-10-19,M,Cesecah,W,2020-03-10,LR,,Z,395,113
12-01-LK,2019-12-11,Kali,Graham,2018-08-02,F,IGDB,GD,2020-06-29,LRxGR,,K,496,201
12-02-LM,2019-12-09,Minnie,Rose,2018-08-25,F,IGDB,GD,2020-07-21,LR,,M,471,225
12-03-LM,2019-12-09,Milo,Rose,2018-08-25,M,IGDB,AD,,LR,,M,471,0
01-01-LM,2020-01-09,Molly,Graham,2018-08-25,F,IGDB,AD,2020-11-02,LR,,M,502,298
01-02-LM,2020-01-06,Mandy,Rose,2018-08-25,F,IGDB,AD,2020-07-20,LR,,M,499,196
01-03-LN,2020-01-09,Nina,Graham,2018-12-23,F,IGDB,GD,2020-09-14,LRxGR,,N,382,249
01-04-LN,2020-01-09,Niamh,Graham,2018-12-23,F,IGDB,GD,2020-10-05,LRxGR,,N,382,270
01-05-LN,2020-01-06,Noel,Rose,2018-12-23,M,IGDB,AD,2020-11-11,LRxGR,,N,379,310
01-06-LN,2020-01-07,Nala,Diana,2018-12-23,F,IGDB,AD,2020-08-21,LRx,,N,380,227
12-11-LK,2020-01-09,Kyle,Mags,2018-08-02,M,IGDB,GD,2020-09-28,LRxGR,,K,525,263
01-11-LZ,2020-01-21,Zeus,Mags,2018-10-14,M,DFG,GD,2020-09-14,LR,,Z,464,237
01-12-LO,2020-01-21,Odin,Mags,2019-01-12,M,IGDB,AD,2020-08-21,LRxGR,,O,374,213
01-13-LO,2020-01-22,Oj,Diana,2019-01-12,M,IGDB,AD,2020-11-02,LRxGR,,O,375,285
01-14-LO,2020-01-21,Ozark,Graham,2019-01-12,M,IGDB,AD,2020-06-29,LRxGR,,O,374,160
01-15-LO,2020-01-21,Orbet,Graham,2019-01-12,M,IGDB,AD,2020-08-21,LRxGR,,O,374,213
02-01-LN,2020-02-03,Noelle,Rose,2018-12-23,F,IGDB,W,2020-07-16,LRxGR,,N,407,164
02-02-LO,2020-02-06,Ocean,Rose,2019-01-12,F,IGDB,AD,2021-02-17,LRxGR,,O,390,377
02-03-LN,2020-02-12,Niff,Rose,2018-12-23,M,IGDB,AD,2020-09-30,LRxGR,,N,416,231
02-04-LP,2020-02-12,Pennie,Graham,2019-01-30,F,IGDB,W,2020-06-08,LRx,,P,378,117
02-05-LP,2020-02-19,Patch,Diana,2019-01-30,M,IGDB,AD,2020-08-21,LRx,,P,385,184
02-06-LP,2020-02-20,Prince,Diana,2019-01-30,M,IGDB,AD,2020-09-28,LRx,,P,386,221
03-01-LP,2020-03-09,Peaches,Rose,2019-01-30,F,IGDB,AD,2020-11-17,LRx,,P,404,253
03-02-LP,2020-03-11,Peppa,Graham,2019-01-30,F,IGDB,AD,2020-09-10,LRx,,P,406,183
03-03-LP,2020-03-11,Oonagh,Graham,2019-01-12,F,IGDB,AD,2020-09-28,LRx,,O,424,201
03-04-LQ,2020-03-23,Quill,Rose,2019-03-20,M,IGDB,GD,2020-10-14,LRxGR,,Q,369,205
03-05-LQ,2020-03-23,Quinten,Rose,2019-03-20,M,IGDB,AD,2020-11-30,LRxGR,,Q,369,252
03-06-LQ,2020-03-25,Quincy,Graham,2019-03-20,M,IGDB,GD,2020-11-25,LRx,,Q,371,245
03-07-LQ,2020-03-25,Quinto,Graham,2019-03-20,M,IGDB,GD,2021-02-15,LRx,,Q,371,327
09-21-LZ,2020-09-08,Zaid,Frances,2019-07-22,M,AADI,W,2021-03-19,LR,,Z,414,192
09-22-LZ,2020-09-08,Zavier,Frances,2019-07-22,M,AADI,W,2020-09-16,LR,,Z,414,8
09-23-LT,2020-09-08,Tango,Graham,2019-05-23,F,IGDB,AD,2021-04-22,LRxGR,,T,474,226
09-24-LQ,2020-09-08,Quayla,Rose,2019-03-20,F,IGDB,AD,2021-02-03,LRxGR,,Q,538,148
09-25-LV,2020-09-08,Varley,Rose,2019-06-11,M,IGDB,W,2021-04-14,LR,,V,455,218
09-31-LS,2020-09-15,Simon,Graham,2019-04-19,M,IGDB,in Training,2021-05-24,LRx,,S,515,251
09-32-LT,2020-09-15,Teal,Rose,2019-05-23,F,IGDB,W,2021-03-29,LRxGR,,T,481,195
09-33-LZ,2020-09-15,Zaar,Diana,2019-05-20,M,Private breeder,in Training,2021-06-21,LR,,Z,484,279
09-34-LZ,2020-09-15,Zackie,Frances,2019-07-22,M,AADI,in Training,2021-05-12,LR,,Z,421,239
09-35-LV,2020-09-15,Vale,Frances,2019-06-11,M,IGDB,in Training,2021-05-12,LR,,V,462,239
09-41-LR,2020-09-22,Ramona,Graham,2019-04-19,F,IGDB,AD,2021-04-21,LRx,,R,522,211
09-42-LR,2020-09-22,Rita,Graham,2019-04-19,F,IGDB,AD,2021-03-01,LRx,,R,522,160
09-43-LZ,2020-09-22,Zorro,Graham,2019-05-20,M,Private breeder,AD,2021-03-19,LR,,Z,491,178
09-44-LT,2020-09-22,Toto,Diana,2019-05-23,F,IGDB,AD,2021-04-01,LRx,,T,488,191
09-45-LZ,2020-09-22,Zylan,Rose,2019-08-03,M,Private breeder,AD,2021-04-26,LR,,Z,416,216
10-41-LZ,2020-10-05,Zita,Alison,2019-04-29,F,GDBUK,in Training,2021-05-10,LRxGR,,Z,525,217
10-42-LT,2020-10-05,Tim,Alison,2019-04-20,M,GDBUK,in Training,2021-05-10,LR,,T,534,217
10-43-LR,2020-10-05,Rebecca,Alison,2019-04-15,F,GDBUK,in Training,2021-05-10,LRxGR,,R,539,217
10-44-LL,2020-10-05,Leigh,Alison,2019-05-16,F,GDBUK,in Training,2021-05-07,GS,,L,508,214
10-45-LE,2020-10-05,Eddie,Alison,2019-03-18,M,GDBUK,in Training,2021-05-07,LR,,E,567,214
11-40-LZ,2020-11-04,Zeplin,Frances,2019-03-18,M,Private breeder,W,2021-02-02,GRxPoodle,,Z,597,90
11-41-LZ,2020-11-04,Ziggy,UK PR,2019-04-29,M,GDBUK,in Training,2021-05-07,LRxGR,,Z,555,184
11-42-LE,2020-11-04,Ezra,UK PR,2019-05-04,M,GDBUK,in Training,2021-05-10,LRxGR,,E,550,187
11-43-LB,2020-11-04,Bubbles,UK PR,2018-10-04,F,GDBUK,in Training,2021-05-07,LRxGR,,B,762,184
11-44-LZ,2020-11-10,Zeeno,Diana,2019-07-13,M,Private breeder,in Training,2021-07-07,LRxGR,,Z,486,239
11-42-LT,2020-11-10,Thor,Graham,2019-05-23,M,IGDB,in Training,2021-05-31,LRxGR,,T,537,202
11-43-LT,2020-11-10,Tessa,Rose,2019-07-14,F,IGDB,in Training,,LRxGR,,T,485,0
11-44-LY,2020-11-10,Yeska,Frances,2019-09-25,F,IGDB,in Training,2021-05-12,LRxGR,,Y,412,183
11-45-LZ,2020-11-10,Zarley,Frances,2019-09-01,M,Private breeder,in Training,,LR,,Z,436,0
11-51-LR,2020-11-20,Rainbow,UK PR,2019-06-09,F,GDBUK,in Training,2021-07-07,LR,,R,530,229
11-52-LC,2020-11-20,Clay,UK PR,2019-05-03,M,GDBUK,W,2021-04-29,LR,,C,567,160
11-53-LD,2020-11-20,Dora,UK PR,2019-06-23,F,GDBUK,in Training,2021-07-07,LR,,D,516,229
11-54-LP,2020-11-26,Piper,UK PR,2019-04-20,F,GDBUK,in Training,2021-07-07,LR,,P,586,223
11-61-LJ,2020-11-30,John,UK PR,2018-11-26,M,GDBUK,in Training,2021-10-25,LRxGR,,J,735,329
11-62-LS,2020-12-01,Saffron,UK PR,2019-06-06,F,GDBUK,in Training,2021-10-25,LRxGR,,S,544,328
11-63-LC,2020-12-02,Chhiri,UK PR,2019-04-20,F,GDBUK,W,2021-03-03,LRxGR,,C,592,91
11-64-LT,2020-12-03,Toni,UK PR,2019-04-20,F,GDBUK,in Training,2021-10-25,LR,,T,593,326
01-21-LZ,2021-01-05,Zyon,Rose,2021-07-13,M,Private breeder,in Training,2021-10-25,GRxPoodle,,Z,-189,293
01-22-LT,2021-01-13,Tommy,Graham,2019-05-23,M,IGDB,in Training,2021-07-26,LRx,,T,601,194
01-23-LT,2021-01-13,Teemo,Graham,2019-05-23,M,IGDB,in Training,2021-06-21,LRx,,T,601,159
01-24-LT,2021-01-13,Trinny,Graham,2019-05-23,F,IGDB,in Training,2021-07-26,LRx,,T,601,194
01-25-LW,2021-01-05,Woulfie,Diana,2019-07-01,F,IGDB,in Training,2021-07-26,LRx,,W,554,202
04-11-LV,2021-04-07,Vaughan,Rose,2019-06-11,M,IGDB,in Training,2021-08-30,LRxGR,,V,666,145
04-12-LY,2021-04-07,Yani,Rose,2019-09-25,F,IGDB,in Training,2021-08-30,LRxGR,,Y,560,145
04-13-LY,2021-04-07,Yorkie,Rose,2019-09-26,M,IGDB,in Training,2021-08-30,LRxGR,,Y,559,145
04-14-LV,2021-04-07,Verona,Graham,2019-06-11,F,IGDB,in Training,2021-08-30,LR,,V,666,145
04-15-LV,2021-04-07,Vista,Graham,2019-06-11,F,IGDB,in Training,2021-08-30,LR,,V,666,145
04-16-LH,2021-04-08,Harold,Rose,2020-01-10,M,PRV breeder,in Training,2021-08-30,LR,,H,454,144
