Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,End Date,Status,Assessor.1,Video Start Time (HH:MM:SS),Familiarisation-Start Time (MM:SS),Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Familiarisation-Comments,Call Back-Start Time (MM:SS) ,Call Back-Response,Call Back-Comments,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Walking-Comments,Standing-Start Time (MM:SS) ,Standing-Response,Standing-Comments,Sitting-Start Time (MM:SS) ,Sitting-Response,Sitting-Comments,Lying-Start Time (MM:SS) ,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Lying-Comments,Body check-Start Time (MM:SS),Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Body Check-Comments,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Tea Towel-Comments,Distractions-Start Time (MM:SS),Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Distractions-Finish Time (MM:SS) ,Distractions-Comments,Kong-Presentation-Start Time (MM:SS) ,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Start Time (MM:SS),Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Interaction-Finish Time (MM:SS),Kong-Return-Handler,Kong-Comments,Dog-Start Time (MM:SS),Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Dog-Comments,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Crate-Finish Time (MM:SS),Crate-Comments,Petting-Start Time (MM:SS),Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Finish Time (MM:SS),Petting-Responsiveness-After,Petting-Comments,Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Isolation-Comments,Reunion-Response,Reunion-Comments,Noise-Start Time (MM:SS),Noise-Time (MM:SS),Noise-Confidence,Noise-Walk Finish Time (MM:SS),Noise-Comments,Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Lip Smacking
Earl,04-02-LE,2,2019-07-03,B,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,29/11/2019,AD,B,,,4.0,2.0,1.0,,,2.0,,,1,1,1,3,dog shows stress at times by biting the lead,,4,,,2.0,hard to tell how many times she asked to sit and also used food,,1,2.0,,started on platform and then on the ground,,2.0,3,No,No,,moves head away,,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,,,1,3,4,3,3,3.0,3.0,3.0,2,2.0,4,,,,2,settled,,Left,3.0,1,2.0,,2.0,,,3,0.0,,dog explores near the handler for a few seconds,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,4.0,1.0,1.0,1.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
Douglas,04-03-LD,2,2019-07-04,A,LRx,M,D,IGDB,Rose,11/02/2018,24/04/2019,06/08/2019,W,A,,,1.0,5.0,1.0,,,1.0,,,2,1,1,2,,,4,A little distracted by handlers treat pouch but maintained stand wait well,,3.0,,,1,1.0,,"Broke down stay numerous times. Change of handler? Distracted, and potential stubbornness - wanting food reward. ",,2.0,3,No,No,,,,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,2,3,6,2,2.0,3.0,6.0,4,4.0,4,,,,5,"Overly excited, mouthing at and jumping at handler for the kong. Eager to receive and struggles to maintain composure",,Both,4.0,3,5.0,,4.0,,,5,1.0,,,,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,3.0,2.0,1.0,1.0,1.0,No,,,3.0,,,,4.0,,Minor startle - quick recovery and then investigates noise source (bucket),,,,,,,,,,,
Emmy,04-08-LE,2,2019-08-12,B,LRx,F,E,IGDB,Graham,12/03/2018,24/04/2019,19/08/2019,W,B,,,2.0,4.0,1.0,more settled,,1.0,,,1,1,1,4,,,4,handler stayed beside the dog crouched down constantly petting the dog,,4.0,"dog sat naturally, handler supported dog with mod petting",,4,3.0,,handler stayed down beside the dog giving support,,2.0,3,No,No,,"dog initially refused and the put only front paws, dog not lifted and exam done on the ground",,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,,"follows handler around, turn heads initially to see",,1,4,4,3,2,3.0,2.0,2.0,1,1.0,4,,,,2,sits but looks away regularly,,Both,3.0,2,2.0,,2.0,,,3,0.0,,handler took a step away but dog stayed sitting,,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,3.0,calmly interacts with handler stood up while petting the dog ,,3.0,2.0,1.0,2.0,1.0,No,,strolled calmly around,3.0,,,,5.0,,"bucket was taken out, as had been there from pervious time, dog anticipated the noise, first time bucket was placed and minor reaction, second time dog reacted prior to bucket being placed down",,,,,,,,,,,
Fargo,04-05-LF,2,2019-07-03,A,LRx,M ,F,IGDB,Graham,16/03/2018,24/04/2019,25/11/2019,GD,A,,,2.0,4.0,1.0,A little body sensitive - not liking the strap,,1.0,,,1,1,1,2,,,3,"Sat without being asked, and then re-assumed his stand (also without being asked) but then maintained it afterward although quite distracted",,1.0,"Broke the sit by standing, sat immediately after but then shortly after that lay down without being requested to. Maintained the down position until the very near the end- sit position not corrected. Was then asked to re-assume the sit by the assessor and maintained",,4,3.0,,"While he did not break the down position when he assumed it of his own accord, he was not asked to do this. I have, however, recorded it as excellent (1 attempt) as he didnt officially break it. ",,4.0,3,No,No,,Not completely happy with paws being checked but cooperative nonetheless.,,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,,Shakes on second attempt,,1,2,2,4,2,2.0,2.0,4.0,2,2.0,4,,Only really distracted by the food - good handler intervention or I feel the reaction would have been more than a mere pause,,4,"Breaks sit throughout, circles handler and also tries to exhibit good behaviour to get the handler to give the kong (lies down)",,Righ,3.0,1,2.0,,2.0,On lead ,,5,,,Does go to dog immediately but quickly loses interest and explores. Call back NA as handler doesnt call back but rather goes toward Fargo and puts him on lead.,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,No,,,,1.0,1.0,2.0,,3.0,,,4.0,1.0,1.0,1.0,1.0,No,,,3.0,,,,3.0,,,,,,,,,,,,,
Dugg,05-01-LD,2,2019-07-17,B,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,25/10/2019,AD,B,,,2.0,4.0,2.0,,,,dog came back and stood in front of handler and then handler put lead on ,,2,2,1,3,,,3,,,2.0,"ended up getting up and back paws went off the platform, handler had to reproach the platform",,3,3.0,,"as down went down on platform he was half off the platform, hander did down on ground ",,3.0,3,No,No,,went up on table on 2nd aproach,,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,1,4,2,3.0,3.0,3.0,3,2.0,4,,,,2,would look away only briefly ,,Left,3.0,1,1.0,,2.0,,,4,,,"dog was near handler, handler moved and dogfollowed",,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,No,,,,2.0,1.0,4.0,,4.0,,,3.0,2.0,2.0,3.0,2.0,No,,,4.0,,,,4.0,,,,,,,,,,,,,
Elf,04-07-LE,2,2019-07-03,A,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,25/11/2019,GD,A,,,5.0,5.0,1.0,He was sniffing and exploring but didnt veer too far off from his handler for the most part and went only as far as a few feet in total,,1.0,,,3,4,3,1,Loads of tension during the walk - so much so that you can hear the tension in the collar from his excessive panting and wheezing ,,3,"Sat down immediately after being told to sit - no stand demonstrated at first. Demonstrated stand at the end. Gave him the benefit of doubt and instead of an official 3 attempts I counted as 2 attempts as he was originally asked to stand when he ignored it/didnt understand it and sat, and then once when he broke it toward the end ",,4.0,Sat without being asked - when he was actually asked to stand. Maintained this position however and didnt break it once ,,4,3.0,,A slight bit of scenting and in good posture while lying - but not relaxed I wouldnt say. Quite alert to his surroundings,,4.0,3,No,No,,I went with co-operative because of his paw sensitivity and because he was a little shaky in his hindquarters when he was being checked. His demeanour also changed slightly ,,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,,There was a change to his neutral state but I think not from the tea towel. i believe he heard a food/ recall whistle and it took his mind off of the towel completely and hence I feel he was indifferent but he definitely had a change to his neutral state due to the whistle,,3,2,2,6,1,2.0,2.0,2.0,3,4.0,4,,I think there was a lot of handler intervention here which does mask alot of what I believe the true behaviour was ,,4,"He is very ""all over the place"" - not sure what to be more excited about - the kong or the assessor or the dog barking. But he is definitely showing high interest in the kong. Lifts hind quarters and stands with tail wagging excitedly, whines and lip smacks",,Left,3.0,1,1.0,,2.0,,,3,0.0,,"Stands from his seated position, tail wagging but does not leave the handlers side",,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,Stays standing but makes no attempt to seek attention and remains calm,,1.0,1.0,3.0,,2.0,,,4.0,1.0,2.0,2.0,1.0,No,,,4.0,slight activation - tail wagging quite fast,,,4.0,,No real reaction just impulse to investigate,,,,,,,,,,,
Flora,05-02-LF,2,2019-07-16,A,LRxGR,F,F,Home bred,Graham,16/03/2018,01/05/2019,20/12/2019,GD,A,,,1.0,5.0,1.0,Loads of scratching - strap over chest. Counter surfing. ,,1.0,,,3,3,2,2,Loads of scenting. Urination. Still scenting after urination (was not scenting only due to the urge to urinate). Occasionally walks ahead but for the most part walks at heel,,3,Scenting. Broke stand and sat. Wasnt corrected. Stand resumed after broken sit - wasnt seen for very long ,,3.0,"Wasnt asked to sit. Broke the sit at the end, and then assessor requested to move onto the stand. ",,4,3.0,,Drops to the side (more settled) toward the end,,4.0,4,No,No,,,,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,,"First attempt - backs up a bit 
Second attempt slight drop in posture and change in level of activation",,1,3,3,5,1,2.0,3.0,2.0,2,4.0,6,,,,2,Well behaved - good self modulation,,Left,3.0,1,1.0,,2.0,,,6,1.0,,Paces alongside gate,,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,2.0,,,4.0,1.0,1.0,,1.0,No,,Whining from the dog in the crate or from this dog? I think more from the crated dog. ,3.0,,,,6.0,,Runs towards and investigates ,,,,,,,,,,,
Zeb,05-04-LZ,2,2019-07-17,A,LR,M,Z,Private breeder,Catherine,06/04/2018,01/05/2019,06/08/2019,W,A,,,1.0,5.0,1.0,,,1.0,Handler did need to take a step closer but did come on first call,,1,1,1,4,,,4,Not keen on platform. Handler doesnt use the platform ,,1.0,Poor response seems to be related to body sensitivity - took many attempts to get him into a sit but once sitting he didnt break,,2,3.0,,Took many attempts to get him into sit and down but was improved from the sit. Handler remained in crouched position. Needed lots of handler support here or I believe he would have been more unsettled,,1.0,4,No,No,,From tail carriage one might assume that he was only being cooperative but his tail carriage is very low throughout (body sensitivity?),,No,Yes,No,No,No,No,No,No,Yes,No,No,No,,Definitely not comfortable and tries to escape and when the towel is taken off the first time he tries to hide under the table,,3,2,3,6,1,2.0,2.0,6.0,3,5.0,4,,,,5,Jumps up twice during first presentation but maintains sit during the concentration phase - still quite enthralled though,,Left,3.0,3,3.0,,4.0,Does let go but tries to get it back by jumping up at the handler,,2,1.0,,At first doesnt leave the handlers side - doesnt leave for most of the time. Then runs to the crate rather than the dog,,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,4.0,3.0,1.0,,1.0,No,,Whining coming from the dog in the crate in my opinion. ,1.0,,,,4.0,,Slight increase in pace and investigates,,,,,,,,,,,
Fawn,05-03-LF,2,2019-07-17,B,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,25/11/2019,GD,B,,,1.0,5.0,1.0,,,1.0,,,3,4,3,1,dog mostly walks ahead of handler,,3,dog moved as saw treats,,4.0,,,4,3.0,,,,4.0,3,No,No,,,,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,,played a lot with the tea towel,,6,5,6,6,6,5.0,6.0,6.0,4,5.0,6,,very distracted in general,,4,"dog sits, looks briefly away twice",,None,3.0,2,1.0,,2.0,,,5,,,"dog distraction didn't have a collar on, ended up off lead and in with the dog being tested. No recall done.",,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,No,,,,1.0,1.0,4.0,,4.0,"dog came out and moved away from handler initially, but then returned and enjoyed being petted",,4.0,2.0,2.0,2.0,1.0,No,,,4.0,handler didn't interact much iniatially,,,6.0,,bucket ignored 2nd time,,,,,,,,,,,
Eldin,05-05-LE,2,2019-07-17,B,LRx,M,E,Home bred,Rose,12/03/2018,01/05/2019,13/12/2019,GD,B,,,4.0,3.0,2.0,"urinated soon after going in, may be due to stress or not going before he came down.",,,dog was following handler around as handler had clean up after dog had urinated,,2,4,2,1,occasionally dog walked beside handler but mainly ahead,,4,panting,,3.0,,,4,3.0,,,,4.0,3,No,No,,,,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,,,,2,4,3,4,2,3.0,3.0,3.0,3,3.0,5,,"2nd time, handler used more voice ",,4,got up once from the sit to move closer to the handler,,Both,3.0,2,2.0,,2.0,"hard to see, relying on what is being said",,3,0.0,,,,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,4.0,2.0,2.0,1.0,1.0,No,,,3.0,,,,4.0,,walked over and looked in the bucket,,,,,,,,,,,
Zodiac,04-04-LZ,2,2019-07-17,B,LR,M,Z,Private breeder,Rose,06/04/2018,24/04/2019,25/10/2019,GD,B,,,1.0,5.0,1.0,,,1.0,,,2,2,2,2,,,4,,,3.0,,,4,4.0,,,,3.0,3,No,No,,"tried to jump up, ended up being lifted ",,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,,,,3,3,4,4,1,1.0,3.0,4.0,3,3.0,4,,dog was very focus on food bowl on second round,,4,sits calmly with tail wagging,,None,3.0,2,2.0,,2.0,"dog picks kong up after awhile, walks around and returns to be near the handler",,7,,,dog had come back to handler naturally,,1.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,,,,1.0,1.0,3.0,,3.0,,,5.0,1.0,1.0,2.0,1.0,No,,,3.0,,,,4.0,,,,,,,,,,,,,
