Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Training,Working,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarization-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Earl,04-02-LE,2,03/07/2019,B,LRx,M,E1,IGDB,12/03/2018,24/04/2019,29/11/2019,219 days,AD,1,Success,Fail,14:34:35,00:16:56,4,2,1,2,1,1,1,3,4,2,1,2,2,3,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,1,3,4,3,3,3,3,3,2,2,4,2,settled,Left,3,1,2,2,4,1,1,2,3,1,1,1,1,1,1,2,2,No,1,1,3,4,4,1,1,1,1,No,4,4,1,1,2,4,1,3,2.5,4,1.5,2,1,2.333333333,8,1.25,0,0.5,0.5,2.75,36,3,81,0.25,2.25,24,2.5,4,2,12,1.5,3,1,1,2,3,2,3,2.5,4,2,4,0,3.666666667,48
Douglas,04-03-LD,2,04/07/2019,A,LRx,M,D1,IGDB,11/02/2018,24/04/2019,06/08/2019,104 days,W,0,Fail,Fail,14:31:54,00:17:35,1,5,1,1,2,1,1,2,4,3,1,1,2,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3,2,3,6,2,2,3,6,4,4,4,5,"Overly excited, mouthing at and jumping at handler for the kong. Eager to receive and struggles to maintain composure",Both,4,3,5,4,6,2,2,3,1,1,1,1,1,1,1,1,2,No,1,1,3,4,3,2,1,1,1,No,4,4,1,1,4,16,3,15,1,1,1.5,2,-1,2.666666667,12,1.25,0,1.833333333,2.5,3.5,108,3.25,72,-0.25,4.5,400,4,12,1.75,8,1,1,1,1,2,3,2,3,2.5,4,1.666666667,3,1,3.666666667,48
Emmy,04-08-LE,2,12/08/2019,B,LRx,F,E1,IGDB,12/03/2018,24/04/2019,19/08/2019,117 days,W,0,Fail,Fail,14:21:07,00:17:43,2,4,1,1,1,1,1,4,4,4,4,3,2,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,1,4,4,3,2,3,2,2,1,1,4,2,sits but looks away regularly,Both,3,2,2,2,4,1,1,3,3,2,1,1,1,2,1,2,2,No,1,1,3,4,3,2,1,2,1,No,4,5,1,1,1,1,0,0,1.5,2,1,1,0,4,64,1.25,0,1.666666667,1.666666667,3,48,2.25,24,-0.75,2.25,24,2.5,4,1.75,8,1.5,3,1.666666667,4,2,3,2,3,2.5,4,2,6,1,3.666666667,48
Fargo,04-05-LF,2,03/07/2019,A,LR,M,F1,IGDB,16/03/2018,24/04/2019,25/11/2019,215 days,GD,2,Success,Success,15:09:06,00:16:39,2,4,1,1,1,1,1,2,3,1,4,3,4,3,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,1,2,2,4,2,2,2,4,2,2,4,4,"Breaks sit throughout, circles handler and also tries to exhibit good behaviour to get the handler to give the kong (lies down)",Righ,3,1,2,2,6,,1,3,1,1,1,2,1,,1,1,2,No,1,1,2,4,4,1,1,1,1,No,4,3,1,1,2,4,1,3,1.5,2,1,1,,2.666666667,12,1.75,0,1,1.166666667,2.25,16,2.5,32,0.25,2.75,48,6,6,1.5,4,1.25,2,1,1,1.5,2,1.5,2,2.5,4,2,4,0,3.333333333,32
Dugg,05-01-LD,2,17/07/2019,B,LRxGR,M,D1,IGDB,11/02/2018,01/05/2019,25/10/2019,177 days,AD,1,Success,Success,14:50:56,00:12:48,2,4,2,,2,2,1,3,3,2,3,3,3,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,3,1,4,2,3,3,3,3,2,4,2,would look away only briefly ,Left,3,1,1,2,5,,2,2,2,3,2,3,3,3,2,3,3,No,2,1,4,5,3,2,2,3,2,No,5,4,1.5,2,2.5,6,1,4,2,4,,1,,2.666666667,18,1.5,0,2.5,2.5,2.75,36,2.75,54,0,2,12,5,5,2.75,54,2.5,36,2.666666667,18,3,8,2.5,4,3,5,2.666666667,18,0,4.666666667,100
Elf,04-07-LE,2,03/07/2019,A,LRx,M,E1,IGDB,12/03/2018,24/04/2019,25/11/2019,215 days,GD,2,Success,Success,15:39:45,00:15:12,5,5,1,1,3,4,3,1,3,4,4,3,4,3,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,3,2,2,6,1,2,2,2,3,4,4,4,"He is very ""all over the place"" - not sure what to be more excited about - the kong or the assessor or the dog barking. But he is definitely showing high interest in the kong. Lifts hind quarters and stands with tail wagging excitedly, whines and lip smacks",Left,3,1,1,2,4,1,1,2,1,1,1,1,1,1,1,1,2,No,1,1,3,3,4,1,2,2,1,No,5,4,3.5,12,3.5,12,0,0,3,5,1,1,0,3.666666667,48,1.75,0,2.5,0.333333333,3.25,72,1.75,8,-1.5,2.5,24,2.5,4,1.75,6,1,1,1,1,2,3,2,3,2,3,2.333333333,8,-1,3.666666667,45
Flora,05-02-LF,2,16/07/2019,A,LR,F,F1,IGDB,16/03/2018,01/05/2019,20/12/2019,233 days,GD,2,Success,Success,13:34:50,00:22:23,1,5,1,1,3,3,2,2,3,3,4,3,4,4,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,1,3,3,5,1,2,3,2,2,4,6,2,Well behaved - good self modulation,Left,3,1,1,2,7,2,1,3,2,1,1,1,1,1,1,1,2,No,1,1,3,3,4,1,1,,1,No,4,6,2.5,6,3,8,0.5,2,1,1,1.5,2,-1,3.333333333,36,2,0,1.166666667,0.5,3,45,2,12,-1,2,12,4.5,14,1.5,4,1.25,2,1,1,2,3,2,3,2,3,2.5,4,0,3.333333333,36
Zeb,05-04-LZ,2,17/07/2019,A,LR,M,Z1,Private breeder,06/04/2018,01/05/2019,06/08/2019,97 days,W,0,Fail,Fail,14:11:54,00:15:55,1,5,1,1,1,1,1,4,4,1,2,3,1,4,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,3,2,3,6,1,2,2,6,3,5,4,5,Jumps up twice during first presentation but maintains sit during the concentration phase - still quite enthralled though,Left,3,3,3,4,3,2,1,1,4,1,1,1,1,1,1,1,2,No,1,1,3,4,4,3,1,,1,No,2,4,1,1,4,15,3,14,1,1,1.5,2,-1,2.333333333,8,1.25,0,0.5,0.5,3.5,108,2.75,24,-0.75,3.75,180,2.5,6,2,8,1.75,4,1,1,2,3,2,3,2.5,4,2.5,4,2,3,24
Fawn,05-03-LF,2,17/07/2019,B,LR,F,F1,IGDB,16/03/2018,01/05/2019,25/11/2019,208 days,GD,2,Success,Success,13:35:14,00:15:19,1,5,1,1,3,4,3,1,3,4,4,3,4,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6,5,6,6,6,5,6,6,4,5,6,4,"dog sits, looks briefly away twice",None,3,2,1,2,6,,1,2,3,3,1,1,1,3,1,2,2,No,1,1,4,5,4,2,2,2,1,No,5,6,3.5,12,4.5,20,1,8,1,1,1,1,,3.666666667,48,1.75,0,3.5,3.5,5.75,1080,5.75,1080,0,2.5,24,6,6,2,12,1.5,3,2.333333333,9,2.5,4,2.5,4,3,5,2.333333333,8,0,4.666666667,100
Eldin,05-05-LE,2,17/07/2019,B,LRx,M,E1,IGDB,12/03/2018,01/05/2019,13/12/2019,226 days,GD,2,Success,Success,15:34:19,00:16:15,4,3,2,,2,4,2,1,4,3,4,3,4,3,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,2,4,3,4,2,3,3,3,3,3,5,4,got up once from the sit to move closer to the handler,Both,3,2,2,2,4,1,1,2,3,1,1,1,1,1,1,2,2,No,1,1,3,4,4,2,2,1,1,No,4,4,3,8,3,9,0,1,3,8,1,1,,3.666666667,48,1.75,0,2.833333333,2.833333333,3.25,96,2.75,54,-0.5,2.75,48,2.5,4,2,12,1.5,3,1,1,2,3,2,3,2.5,4,2,4,0,3.666666667,48
Ebbi,05-14-LE,2,31/07/2019,A,LRx,F,E1,IGDB,12/03/2018,15/05/2019,25/10/2019,163 days,AD,1,Success,Success,14:14:49,00:17:31,4,5,1,1,1,1,1,2,4,1,1,1,1,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,2,3,3,2,1,2,1,2,2,2,6,2,Looks away every now and then but mostly has focused attention. Good behaviour though and no jumping up or broken sit once she is asked to sit. ,Righ,3,1,1,2,6,1,1,2,3,1,1,1,1,1,1,1,1,No,1,1,4,4,5,1,1,1,1,No,2,3,1,1,2,4,1,3,2.5,4,1,1,0,2,4,1,0,1.833333333,1.833333333,2.5,36,1.5,4,-1,2,12,3.5,6,1.5,3,1.5,3,1,1,2.5,4,2.5,4,2.5,4,2.333333333,5,0,3.333333333,32
Herbie,07-02-LH,2,17/09/2019,A,LRxGR,M,H1,IGDB,11/05/2018,02/07/2019,10/03/2020,252 days,GD,2,Success,Fail,13:48:29,00:17:00,4,2,1,1,2,2,2,2,4,2,1,1,4,1,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,2,3,3,4,1,2,3,5,3,3,6,5,Lifts hindquarters twice and jumps up at handler once,Both,3,3,1,2,5,1,1,4,1,1,1,1,1,1,1,1,2,No,1,1,3,3,5,1,2,1,1,No,4,3,2,4,3,9,1,5,2.5,4,1,1,0,2.333333333,8,1.25,0,1,0,3,72,2.75,30,-0.25,2.75,30,3,5,1.25,2,1,1,1,1,2,3,2,3,2,3,2.333333333,5,-1,3.333333333,36
Eliza,05-22-LE,2,12/08/2019,B,LRx,F,E1,IGDB,12/03/2018,28/05/2019,12/11/2019,168 days,W,0,Fail,Fail,13:50:00,00:16:18,2,4,2,1,1,1,1,2,4,2,4,3,4,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,1,4,4,3,4,3,3,3,2,2,5,2,"used ragger, no kong, dog sits and goes into a down eventually",,,1,,,4,1,1,3,4,1,2,1,1,1,1,1,1,No,1,1,2,3,3,3,1,1,1,No,4,4,1,1,2,4,1,3,2,4,1,1,0,3.333333333,32,1.75,0,2.5,1.666666667,3,48,3.25,108,0.25,2,2,2.5,4,1.25,2,2,8,1,1,1.5,2,1.5,2,2,3,1.666666667,3,2,3,24
Edrick,05-11-LE,2,31/07/2019,B,LRx,M,E1,IGDB,12/03/2018,15/05/2019,09/07/2020,421 days,GD,2,Success,Success,13:36:06,00:13:43,2,4,2,1,2,2,2,2,2,4,4,4,4,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,3,4,3,5,3,4,3,5,3,5,5,2,sits and then lies down ,Righ,3,1,2,2,4,,1,2,3,3,3,1,1,3,2,3,2,No,1,1,3,3,5,1,1,2,4,No,5,4,2,4,4,15,2,11,2,4,1,1,,3.333333333,32,1.75,0,2.5,3.5,3.75,180,3.75,180,0,2.25,24,4,4,2.25,18,2,9,2.666666667,18,2,3,2,3,2,3,3.666666667,40,0,3.666666667,45
Evie,07-03-LE,2,17/09/2019,A,LRx,F,E1,IGDB,12/03/2018,02/07/2019,02/02/2020,215 days,GD,2,Success,Success,14:25:06,00:15:49,5,2,2,,1,1,1,2,4,2,4,4,1,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,2,2,2,2,2,2,2,2,1,1,4,2,A very small lift in hindquarters here and there - think this is more due to body sensitivity. Well behaved even though she is definitely interested. ,Both,3,1,1,2,6,2,1,4,4,1,1,1,1,1,1,1,1,No,1,1,3,2,5,1,1,1,1,No,4,4,1,1,1,1,0,0,3.5,10,2,2,,3.333333333,32,1,0,0,0,2,16,2,16,0,2,12,4,12,1,1,1.75,4,1,1,2,3,2,3,1.5,2,2.333333333,5,0,3,24
Zac,07-04-LZ,2,18/09/2019,A,LR,M,Z1,Private breeder,06/04/2018,02/07/2019,25/10/2019,115 days,W,0,Fail,Fail,13:30:14,00:14:26,2,5,1,1,3,2,1,2,2,3,3,1,4,3,No,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,5,3,6,3,5,3,6,5,4,5,6,5,Highly activated and jumping up constantly at handler. ,Both,4,1,1,2,7,2,1,1,4,1,3,1,1,1,1,3,3,No,1,1,4,4,4,2,4,1,1,No,4,4,1.5,2,4.5,20,3,18,1.5,2,1.5,2,-1,2.666666667,18,2,0,2.5,1.833333333,4.25,270,4.75,450,0.5,3,40,4.5,14,2.75,36,2.25,12,1,1,2.5,4,2.5,4,2.5,4,2,4,-2,4,64
Goober,07-01-LG,2,17/09/2019,B,LRxGR,M,G1,IGDB,15/04/2018,02/07/2019,03/02/2020,216 days,GD,2,Success,Success,14:56:17,00:17:43,1,5,1,2,2,2,2,3,4,1,1,1,4,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,3,4,3,4,1,4,4,3,3,4,5,4,dog broke sit and  moved towards the handler,Both,3,1,3,2,7,4,3,2,2,4,1,1,1,3,1,3,2,No,1,1,2,3,4,2,2,2,1,No,4,4,2,4,3.5,12,1.5,8,1,1,3,8,-2,2,4,1.75,0,3.5,3.5,3.5,144,3,48,-0.5,3,72,5.5,28,2.75,54,1.25,2,2.666666667,12,1.5,2,1.5,2,2,3,2.333333333,8,0,3,24
Gav,07-12-LG,2,14/10/2019,A,LRxGR,M,G1,IGDB,15/04/2018,16/06/2019,28/01/2020,226 days,AD,1,Success,Success,14:01:53,00:17:41,2,5,2,1,1,1,1,2,3,3,1,1,4,4,No,No,No,Yes,No,Yes,No,No,No,Yes,Yes,Yes,Yes,No,2,3,3,1,2,2,2,4,2,3,6,4,Lifted hind quarters briefly and then composed himself. Did jump up once on the initial seeing the kong but modulated quickly ,Both,3,3,4,2,5,1,1,4,2,1,1,2,1,1,1,1,1,No,1,1,3,4,4,3,1,1,1,No,4,3,1,1,2.5,6,1.5,5,2,4,1,1,0,2.333333333,9,2,0,1.166666667,2.5,2.25,18,2.5,32,0.25,3.25,96,3,5,1,1,1.5,4,1,1,2,3,2,3,2.5,4,2,4,2,3.666666667,48
Effie,07-13-LE,2,10/10/2019,B,LRx,F,E1,IGDB,12/03/2018,30/07/2019,03/02/2020,188 days,GD,2,Success,Success,13:14:50,00:17:43,4,2,3,1,1,3,2,2,4,4,1,1,4,4,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,2,3,3,4,2,3,3,3,2,2,4,2,"sit, then goes into a down",Righ,3,2,1,2,4,1,1,4,2,1,1,1,1,1,1,1,1,No,3,1,5,4,5,1,1,1,1,No,5,4,2.5,6,2,4,-0.5,-2,3.5,12,1,1,0,3,16,2,0,2.5,0.333333333,3,72,2.75,54,-0.25,2,12,2.5,4,1,1,1.25,2,1,1,4,15,3,5,2.5,4,2.333333333,5,0,4.666666667,100
Harvey,08-02-LH,2,30/10/2019,A,LRxGR,M,H1,IGDB,11/05/2018,21/08/2019,28/01/2020,160 days,AD,1,Success,Success,15:05:42,00:13:40,4,5,1,1,1,1,1,2,3,4,4,3,1,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,3,2,2,3,2,2,2,3,2,2,4,4,Breaks sit and intense staring. No inappropriate behaviour shown. Good modulation,Left,3,2,1,2,6,2,1,4,1,1,1,1,1,1,1,1,1,No,1,1,4,4,4,2,1,1,1,No,4,3,1,1,2,4,1,3,2.5,4,1.5,2,-1,3.666666667,48,1,0,1,1,2.5,36,2.25,24,-0.25,2.5,24,4,12,1,1,1,1,1,1,2.5,4,2.5,4,2.5,4,2,4,1,4,64
Gretel,07-14-LG,2,10/10/2019,B,LRxGR,F,G1,IGDB,15/04/2018,21/07/2019,29/11/2019,131 days,AD,1,Success,Fail,14:49:44,00:17:26,2,4,2,1,1,2,2,2,2,2,3,2,1,2,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,2,4,4,6,3,4,4,4,3,4,5,5,sitting during but jumped once when kong was being given to handler,Left,3,1,1,2,4,1,1,3,2,2,1,1,2,1,1,2,2,No,2,1,4,5,3,3,2,1,1,No,4,4,2,4,3.5,12,1.5,8,2,4,1,1,0,2.333333333,12,0.75,0,2.5,2.5,4,192,3.75,192,-0.25,2.75,30,2.5,4,1.75,8,1.5,4,1.333333333,2,3,8,2.5,4,3,5,1.666666667,3,1,4.333333333,80
Jojo,08-13-LJ,2,14/11/2019,A,LR,F,J1,IGDB,03/07/2018,28/08/2019,29/11/2019,93 days,AD,1,Success,Success,14:22:15,00:13:19,2,5,1,1,2,1,1,2,2,3,1,1,4,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,2,1,2,1,2,1,1,1,1,4,5,"Loads of whining, jumping up at handler and then gets bored and starts exploring",None,4,3,5,2,8,2,1,1,4,3,1,1,1,4,1,3,4,No,1,1,5,3,4,3,2,3,1,No,6,3,1,1,1,1,0,0,1.5,2,1.5,2,-1,2,6,1.75,0,0,0,2,12,1.25,2,-0.75,4,200,5,16,3,48,1.75,4,2.666666667,12,3,5,3,5,2,3,2.666666667,12,1,4.666666667,90
Harry,08-01-LH,2,30/10/2019,B,LRxGR,M,H1,IGDB,11/05/2018,21/08/2019,29/11/2019,100 days,AD,1,Success,Success,13:34:19,00:16:23,1,5,1,1,2,2,2,3,2,4,1,3,1,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,6,5,4,5,3,4,3,3,2,3,5,4,sits,Left,3,3,2,2,5,2,1,4,3,1,1,1,1,1,1,1,1,No,1,1,1,1,5,1,1,1,1,No,1,4,2,4,2.5,6,0.5,2,1,1,1.5,2,-1,2.333333333,8,1,0,1.833333333,2.5,5,600,3.25,108,-1.75,2.75,48,3.5,10,1,1,1.5,3,1,1,1,1,1,1,1,1,2.333333333,5,0,1,1
Irrie,09-01-LI,2,20/11/2019,A,LRxGR,F,I1,IGDB,28/06/2018,04/09/2019,27/07/2020,327 days,GD,2,Success,Success,15:34:00,00:15:00,2,5,1,2,3,2,2,2,2,1,1,1,4,3,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,4,2,3,3,3,2,3,3,5,6,4,briefly lifts hind quarters but good modulation,Left,3,1,1,2,8,3,1,1,2,1,2,1,1,1,1,1,3,No,1,1,3,2,3,3,3,1,1,No,2,3,2,4,4,15,2,11,1.5,2,2.5,6,-1,1.333333333,2,1.75,0,1,0,3.25,96,2.75,54,-0.5,2.5,24,5.5,24,2.25,12,1.5,4,1,1,2,3,2,3,1.5,2,1.666666667,3,0,2.333333333,12
Harmony,08-04-LH,2,30/10/2019,B,LRxGR,F,H1,IGDB,11/05/2018,21/08/2019,29/11/2019,100 days,AD,1,Success,Success,13:05:00,00:17:43,1,5,1,2,3,2,2,2,4,4,1,3,4,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,4,4,4,4,2,3,3,4,3,2,5,5,"dog jump up on to get kong a few times, offers behaviours such as sits and downs  ",None,3,1,1,2,4,1,1,4,2,1,1,1,1,1,1,1,1,No,1,1,3,4,3,2,2,1,1,No,5,5,2,4,2.5,6,0.5,2,1,1,1.5,2,1,3,16,1.75,0,2.5,2.5,4,256,3,72,-1,2.75,30,2.5,4,1,1,1.25,2,1,1,2,3,2,3,2.5,4,1.666666667,3,0,4,60
Josie,09-03-LJ,2,20/11/2019,A,LR,F,J1,IGDB,03/07/2018,04/09/2019,17/08/2020,348 days,GD,2,Success,Success,14:43:14,00:14:30,1,5,1,1,1,1,1,2,1,3,3,2,4,3,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,No,1,2,2,4,1,3,2,3,2,3,4,4,changing position - backing up etc. Lifting hindquarters very briefly. No truly inappropriate behaviour shown - good modulation,None,3,2,1,2,5,3,1,1,4,4,2,1,2,4,1,3,3,No,1,1,4,4,4,1,2,2,2,No,5,3,1,1,2.5,6,1.5,5,1,1,2,3,-2,2.333333333,9,1.75,0,0.666666667,0,2.25,16,2.25,18,0,2.5,24,4,15,2.75,36,2.25,16,3,16,2.5,4,2.5,4,2.5,4,2.666666667,16,-1,4.333333333,80
