Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Training,Working,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarization-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Jazzi,09-04-LJ,2,20/11/2019,A,LR,F,J1,IGDB,03/07/2018,04/09/2019,27/07/2020,327 days,GD,2,Success,Success,14:17:08,00:16:38,2,5,1,2,3,2,2,2,4,4,4,4,3,4,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,3,4,3,1,3,4,2,4,3,3,6,2,Does lift hind quarters briefly when handler began talking. Definitely very engaged with the kong but keeps sitting.,Left,3,2,2,2,3,1,1,2,2,2,1,1,1,2,1,2,2,No,1,1,3,4,5,1,2,4,1,No,4,3,2,4,3,9,1,5,1.5,2,1.5,2,1,4,64,1.75,0,1.166666667,0,2.75,36,3.25,96,0.5,2.25,24,2,3,2,12,1.25,2,1.666666667,4,2,3,2,3,2.5,4,3.333333333,20,-1,3.666666667,48
Jira,08-11-LJ,2,06/11/2019,B,LR,F,J1,IGDB,03/07/2018,28/08/2019,03/02/2020,159 days,GD,2,Success,Success,14:37:42,00:16:57,,,,,2,2,1,3,2,3,4,4,4,3,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,1,4,5,6,6,4,3,5,3,5,5,2,dog sits,None,3,3,1,2,4,1,1,3,3,2,1,1,3,2,1,2,2,No,2,1,4,5,5,1,1,2,4,No,4,4,1.5,2,4,15,2.5,13,,1,1,1,,3,24,1.75,0,2.833333333,2.833333333,4,120,4.5,360,0.5,2,12,2.5,4,1.75,8,2,9,1.666666667,4,3,8,2.5,4,3,5,3.666666667,40,0,4.333333333,80
Jane,10-04-LJ,2,08/01/2020,A,LR,F,J1,IGDB,03/07/2018,02/10/2019,14/02/2020,135 days,AD,1,Success,Success,13:53:52,00:16:30,2,5,2,1,1,1,1,2,2,4,4,4,4,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,3,4,5,2,2,1,3,2,3,5,2,Handler holds the kong directly infront on the dogs face rather than at chest height. For this reason the dog actually behaved amazingly seeing as she only lifted her hind-quarters briefly once. Dog on lead,Righ,4,1,1,3,1,1,2,2,3,1,1,1,1,,1,1,2,No,1,1,3,4,5,2,2,,1,No,4,3,1,1,2.5,6,1.5,5,2,4,1,1,0,3.333333333,32,1.75,0,0,0,3.75,180,2,12,-1.75,2.5,24,1,1,2,12,1.5,3,1,1,2,3,2,3,2.5,4,3,5,0,3.666666667,48
Hayley,08-12-LH,2,06/11/2019,B,LRxGR,F,H1,IGDB,11/05/2018,28/08/2019,04/12/2019,98 days,W,0,Fail,Fail,15:13:24,00:20:23,2,4,1,1,2,1,1,2,2,4,3,3,3,3,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,2,4,4,3,3,3,4,3,2,2,5,5,dog jumps twice at handler,None,3,1,2,2,7,3,2,3,2,2,1,1,1,2,1,2,2,No,2,1,3,5,5,1,2,4,2,No,5,4,1,1,2,4,1,3,1.5,2,2,3,-2,3,24,1.5,0,3.5,2.666666667,3.25,96,3.25,108,0,3,60,5,21,2,16,1.25,2,1.666666667,4,2.5,6,2,3,3,5,3.666666667,40,-1,4.333333333,75
Idris,10-14-LI,2,09/01/2020,B,LRxGR,M,I1,IGDB,28/06/2018,17/10/2019,12/02/2020,118 days,W,0,Fail,Fail,15:27:14,00:13:30,1,5,1,2,2,1,1,2,3,2,4,3,2,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,4,4,4,5,2,3,3,3,2,3,5,2,sat and then went into a down,Left,3,1,1,2,5,1,1,3,3,1,1,1,1,1,1,2,2,No,1,1,3,4,3,3,2,1,1,No,4,4,1,1,2.5,6,1.5,5,1,1,1.5,2,1,3,24,1.25,0,1,1,4.25,320,2.75,54,-1.5,2,12,3,5,1.75,8,1.5,3,1,1,2,3,2,3,2.5,4,1.666666667,3,1,3.666666667,48
Kirby,10-15-LK,2,08/01/2020,A,LRxGR,M,K1,IGDB,02/08/2018,09/10/2019,20/07/2020,285 days,AD,1,Success,Success,13:26:19,00:13:37,3,5,1,1,3,2,2,3,3,1,4,1,4,4,No,No,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,2,3,1,1,2,2,2,4,2,3,4,4,"Dog kept on lead. Intense starting, backing up very slightly and a very quick slight and soft whine.",None,3,1,1,2,4,1,2,4,2,1,1,1,1,1,1,1,1,No,1,1,3,4,4,2,3,,1,No,4,4,2,4,2.5,6,0.5,2,2,3,1,1,0,2.666666667,12,2,0,0.5,0,1.75,6,2.5,32,0.75,2.5,24,2.5,4,1.25,2,1.25,2,1,1,2,3,2,3,2.5,4,2.5,4,-1,3.666666667,48
Kacie,10-31-LK,2,09/01/2020,A,LRxGR,F,K1,IGDB,02/08/2018,24/10/2019,08/06/2020,228 days,AD,1,Success,Success,12:48:54,00:13:27,1,5,1,1,3,2,2,2,3,4,3,2,3,3,No,No,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,No,No,2,4,3,4,2,3,1,2,3,3,6,4,Dog kept on lead. Some whining but brief and mild - tries to lie down and get attention in order to get the kong but wasnt over the top or inappropriate,None,3,1,1,2,5,1,1,3,3,1,1,1,1,1,1,1,1,No,1,1,4,3,5,1,1,,1,No,5,3,2,4,3,9,1,5,1,1,1,1,0,3.333333333,36,1.5,0,1.833333333,0.333333333,3.25,96,2,12,-1.25,2.5,24,3,5,1.25,2,1.5,3,1,1,2.5,4,2.5,4,2,3,3,5,0,4,60
July,10-03-LJ,2,08/01/2020,B,LR,F,J1,IGDB,03/07/2018,17/10/2019,08/06/2020,235 days,AD,1,Success,Success,13:02:41,00:14:33,1,4,2,1,1,1,1,3,3,3,4,3,4,3,No,No,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,1,4,1,5,2,3,1,4,3,3,5,5,dog jumps up,None,3,1,1,2,5,2,2,3,2,3,1,2,1,2,1,2,2,No,1,1,2,3,3,3,2,2,1,No,3,4,1,1,3,9,2,8,1.5,2,1.5,2,-1,3.333333333,36,1.75,0,1.666666667,0.5,2.75,20,2.5,24,-0.25,2.75,30,3.5,10,2,16,1.5,4,2,6,1.5,2,1.5,2,2,3,2,6,1,2.666666667,18
Kelvin,10-13-LK,2,09/01/2020,B,LRxGR,M,K1,IGDB,02/08/2018,07/10/2019,22/06/2020,259 days,GD,2,Success,Success,14:43:49,00:14:33,2,4,1,,1,2,2,2,3,2,4,3,4,4,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6,5,4,6,2,4,3,3,3,5,6,5,"dog jumps up at handler, sits, down, sits",None,3,3,1,2,6,2,1,1,2,4,1,1,3,2,5,3,3,No,1,1,4,5,4,2,4,2,4,No,6,5,2,4,4,15,2,11,1.5,2,2,2,,3,24,2,0,3.5,3.5,5.25,720,3,72,-2.25,2.75,30,4,12,2.75,36,1.75,6,3.666666667,40,2.5,4,2.5,4,3,5,3.333333333,32,-2,5,120
Meeko,11-02-IM,2,16/01/2020,A,LR,M,M1,IGDB,25/08/2018,04/11/2019,29/05/2020,207 days,W,0,Fail,Fail,14:41:37,00:16:41,3,5,1,1,3,1,1,3,1,2,1,1,2,3,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,2,3,4,4,3,2,2,2,2,2,5,2,Staring intently - does avert attention for a few seconds but reverts back to starting at kong. Good behaviour shown - no breaks in the sit or shifting weight or moving. ,Both,3,1,2,2,3,4,1,4,3,1,1,1,1,1,1,1,1,No,1,1,3,3,2,4,1,1,1,No,4,4,1,1,2,4,1,3,2,3,2.5,4,-3,1.333333333,2,1.25,0,1,0.5,3.25,96,2.25,24,-1,2.25,24,3.5,12,1,1,1.5,3,1,1,2,3,2,3,2,3,1.333333333,2,3,3.333333333,36
Katie,11-21-IK,2,28/01/2020,B,LRxGR,F,K1,IGDB,02/08/2018,19/11/2019,08/06/2020,202 days,AD,1,Success,Success,12:38:33,00:15:14,1,5,1,1,2,3,2,2,1,2,3,3,4,1,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,4,4,3,6,3,3,3,6,4,5,6,5,"jumps up for kong when being handed in, sits, downs, ",Righ,3,3,2,3,6,2,1,3,2,3,1,2,1,3,1,2,2,No,1,3,2,3,2,4,4,1,1,No,4,5,2.5,6,4.5,20,2,14,1,1,1.5,2,-1,2,6,1.25,0,0.833333333,0.833333333,4.25,288,3.75,162,-0.5,3.25,90,4,12,1.75,8,1.5,4,2.333333333,9,1.5,2,2.5,6,3,9,1.333333333,2,0,3,24
Kain,11-11-IK,2,16/01/2020,A,LRxGR,M,K1,IGDB,02/08/2018,12/11/2019,15/07/2020,246 days,AD,1,Success,Success,15:07:36,00:15:03,2,5,1,1,3,2,2,1,2,2,4,3,4,3,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,6,2,2,3,3,3,2,4,4,5,4,5,Jumping up at handler and staring very intently,Both,3,1,1,2,5,1,1,2,2,3,1,1,1,3,1,2,3,No,1,1,3,3,4,3,1,4,4,No,4,6,2,4,4.5,20,2.5,16,1.5,2,1,1,0,2.666666667,16,1.75,0,1.833333333,1.833333333,3.25,72,3,72,-0.25,2.75,30,3,5,2.25,18,1.25,2,2.333333333,9,2,3,2,3,2,3,4,64,2,3.333333333,36
Kaiser,11-24-IK,2,28/01/2020,A,LRxGR,M,K1,IGDB,02/08/2018,20/11/2019,20/07/2020,243 days,GD,2,Success,Success,13:47:44,00:14:06,2,5,1,2,2,2,2,1,2,4,4,3,4,4,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,Yes,No,2,2,3,5,5,2,2,4,4,4,4,4,"Whining, intense stare but maintains sit",Both,3,3,1,2,6,3,1,2,3,1,1,1,1,,1,2,2,No,1,3,3,4,4,2,3,,1,No,4,4,2,4,4,16,2,12,1.5,2,2.5,6,-1,3.333333333,32,2,0,1.833333333,1.833333333,3,60,3.25,80,0.25,2.5,24,4.5,18,2,12,1.5,3,1,1,2,3,3,9,3.5,12,2.5,4,-1,3.666666667,48
Jessie,11-25-IJ,2,28/01/2020,A,LR,F,J1,IGDB,03/07/2018,20/11/2019,31/07/2020,254 days,GD,2,Success,Success,14:45:38,00:12:23,2,5,1,1,2,1,1,2,2,1,3,2,4,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,2,3,5,1,2,2,4,2,3,4,2,Video cut short but from what was recorded - she was interested and looking but no breaking the sit and no inappropriate behaviour at all.,Left,2,1,1,2,5,1,1,1,4,4,2,3,3,2,1,2,3,No,1,1,3,4,5,1,2,2,1,No,4,4,1,1,2.5,6,1.5,5,1.5,2,1,1,0,2,6,1.75,0,0,0,3.25,90,2.25,16,-1,1.75,8,3,5,2.5,24,3,72,2.333333333,8,2,3,2,3,2.5,4,2.666666667,10,-1,3.666666667,48
Zander,11-28-IZ,2,28/01/2020,A,LR,M,Z2,Cesecah,19/10/2018,18/11/2019,10/03/2020,113 days,W,0,Fail,Fail,14:13:55,00:15:04,2,5,1,1,2,1,1,2,4,2,2,3,4,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,No,3,3,2,4,2,2,1,3,3,3,6,4,Slight whine and quite restless and anxious to get the kong,None,4,2,1,2,6,1,1,1,1,2,1,1,1,2,1,2,2,No,1,1,3,3,3,4,1,2,1,No,4,3,1,1,3,9,2,8,1.5,2,1,1,0,2.666666667,16,1.75,0,1,1,3,72,2,12,-1,2.75,32,3.5,6,2.25,16,1,1,1.666666667,4,2,3,2,3,2,3,2,6,3,3.333333333,36
Kali,12-01-LK,2,19/02/2020,A,LRxGR,F,K1,IGDB,02/08/2018,11/12/2019,29/06/2020,201 days,GD,2,Success,Success,14:18:33,00:14:16,1,5,1,1,3,3,2,1,3,3,3,3,4,4,No,No,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,2,3,1,5,3,2,2,4,3,4,6,4,Intent stare and trying to do obedience to get handler to give kong,Left,3,3,1,2,5,2,1,2,1,1,1,1,1,1,1,1,2,No,1,1,4,3,4,3,3,2,1,Yes,4,4,2.5,6,3.5,12,1,6,1,1,1.5,2,-1,3,27,2,0,1.833333333,0,2.75,30,2.75,48,0,2.5,24,3.5,10,1.75,6,1,1,1,1,2.5,4,2.5,4,2,3,2.333333333,8,0,3.666666667,48
Meg,11-22-IM,2,30/01/2020,B,LR,F,M1,IGDB,25/08/2018,19/11/2019,31/01/2020,73 days,W,0,Fail,Fail,14:23:17,00:14:58,1,5,1,1,1,2,2,2,3,4,3,4,4,3,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,4,5,4,5,1,4,3,2,3,5,6,2,sits,Righ,3,1,2,2,4,1,1,2,3,1,1,2,1,1,1,2,2,No,1,1,3,4,5,1,1,1,1,No,4,4,2,4,4,15,2,11,1,1,1,1,0,3.333333333,36,1.75,0,1,0.5,4.5,400,2.5,24,-2,2.25,24,2.5,4,2,12,1.75,6,1,1,2,3,2,3,2.5,4,2.333333333,5,0,3.666666667,48
Lexie,11-26-IL,2,30/01/2020,B,LR,F,L1,IGDB,17/08/2018,19/11/2019,20/07/2020,244 days,AD,1,Success,Success,13:58:21,00:15:18,1,5,1,1,1,1,1,3,4,4,3,3,4,3,No,Yes,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,3,4,3,1,2,4,2,1,2,3,5,2,sits,None,3,3,2,2,4,1,1,3,3,3,1,1,2,2,1,2,2,No,1,1,4,5,2,4,3,1,1,No,5,4,1,1,2.5,6,1.5,5,1,1,1,1,0,3.666666667,48,2,0,1.666666667,1.666666667,2.75,36,2.25,16,-0.5,2.25,24,2.5,4,1.75,8,1.75,6,2,6,2.5,4,2.5,4,3,5,1.333333333,2,1,4.666666667,100
Tosh,11-23-IT,2,28/01/2020,B,GR,M,T1,GDBUK,25/09/2018,19/11/2019,20/01/2020,62 days,W,0,Fail,Fail,13:01:41,00:14:42,1,5,1,1,2,1,1,2,3,4,4,4,4,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,No,No,No,4,4,3,4,1,3,2,3,2,2,5,2,sits,Left,3,1,1,2,5,3,1,3,2,1,1,1,1,1,1,2,2,No,1,2,3,4,1,5,1,1,1,No,4,3,1,1,2,4,1,3,1,1,2,3,-2,3.666666667,48,1.75,0,1.666666667,1,3.75,192,2.25,18,-1.5,2,12,4,15,1.75,8,1.25,2,1,1,2,3,2.5,6,3,8,1,1,4,3.666666667,48
Illana,11-27-II,2,30/01/2020,B,LRxGR,F,I1,IGDB,28/06/2018,18/11/2019,15/07/2020,240 days,AD,1,Success,Success,13:30:03,00:15:33,2,4,1,1,2,3,2,2,3,1,1,1,4,3,No,No,No,Yes,Yes,No,No,No,No,Yes,Yes,Yes,No,No,4,4,3,4,4,4,1,3,3,4,5,2,sits,Left,3,3,2,2,4,2,1,2,3,1,1,2,1,1,1,2,2,No,1,1,1,2,2,4,2,1,1,No,4,4,2.5,6,3.5,12,1,6,1.5,2,1.5,2,-1,1.666666667,3,1.75,0,1,1.666666667,3.75,192,3,48,-0.75,2.25,24,3,8,2,12,1.75,6,1,1,1,1,1,1,1.5,2,1.333333333,2,2,2.333333333,8
Rita,09-42-LR,2,08/12/2020,B,LRx,F,R1,IGDB,19/04/2019,22/09/2020,01/03/2021,160 days,AD,1,Success,Success,15:20:03,00:13:39,1,5,1,1,1,2,2,3,1,4,4,1,3,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,2,3,3,3,2,2,2,2,2,2,4,2,"sits, moves slightly to reposition her sit, small whine,",Left,3,1,1,2,4,1,1,4,2,2,1,1,1,1,2,2,2,No,1,1,3,3,3,3,1,1,1,No,4,4,2,4,2,4,0,0,1,1,1,1,0,3,16,1.5,0,1.666666667,0.666666667,2.75,54,2,16,-0.75,2,12,2.5,4,1.5,4,1.25,2,1.666666667,4,2,3,2,3,2,3,1.666666667,3,2,3.333333333,36
Toto,09-44-LT,2,08/12/2020,B,LRx,F,T2,IGDB,23/05/2019,22/09/2020,01/04/2021,191 days,AD,1,Success,Success,14:55:52,00:14:41,2,4,1,,3,2,2,3,4,4,2,3,4,3,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,Yes,No,4,3,3,4,3,3,3,3,3,3,5,4,sits calmly,None,3,1,1,2,4,1,1,3,2,2,1,1,1,2,1,2,2,No,1,1,2,2,4,2,1,1,1,No,4,4,2,4,3,9,1,5,1.5,2,1,1,,3.333333333,32,1.75,0,1.666666667,2.5,3.5,144,3,81,-0.5,2.5,24,2.5,4,1.75,8,1.25,2,1.666666667,4,1.5,2,1.5,2,1.5,2,2,4,1,2.666666667,16
Zita,10-41-LZ,2,17/12/2020,B,LRxGR,F,Z7,GDBUK,29/04/2019,05/10/2020,21/05/2021,228 days,GD,2,Success,Success,12:41:53,00:14:54,2,4,1,1,2,3,2,2,2,4,1,1,4,2,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,4,4,4,4,4,4,4,4,4,4,5,4,"sits, moves, sits ",Righ,3,2,2,2,6,2,3,1,2,5,1,1,1,5,1,3,3,No,,,,,4,1,2,2,1,No,5,4,2.5,6,4,16,1.5,10,1.5,2,1.5,2,-1,2.333333333,8,1.75,0,3.5,2.5,4,256,4,256,0,2.75,48,4,12,3.25,108,1.25,2,3.666666667,25,,1,,1,,1,2.333333333,8,-1,5,5
Tim,10-42-LT,2,17/12/2020,B,LR,M,T3,GDBUK,20/04/2019,05/10/2020,21/05/2021,228 days,GD,2,Success,Success,12:18:10,00:14:42,5,1,5,,1,2,2,3,1,4,4,3,4,3,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,No,4,4,3,3,3,3,2,3,2,2,7,4,"sits, moves sits goes into a down",None,3,2,2,2,4,1,1,4,2,1,1,1,1,1,1,1,1,No,1,1,3,3,5,1,1,2,1,No,4,4,2,4,2,4,0,0,5,25,1,1,,3,16,1.75,0,2.333333333,0.666666667,3.5,144,2.75,54,-0.75,2.75,48,2.5,4,1,1,1.25,2,1,1,2,3,2,3,2,3,2.666666667,10,0,3.333333333,36
Rebecca,10-43-LR,2,17/12/2020,B,LRxGR,F,R2,GDBUK,15/04/2019,05/10/2020,21/05/2021,228 days,GD,2,Success,Success,13:32:35,00:14:33,4,5,1,1,1,2,2,3,2,2,3,3,4,2,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,4,4,2,3,3,4,2,2,3,2,6,4,sat would look away occasionally,None,3,1,1,2,4,1,3,1,1,1,1,1,1,1,1,3,3,No,1,1,3,3,4,3,1,1,1,No,3,4,2,4,2.5,6,0.5,2,2.5,4,1,1,0,2.333333333,12,1.5,0,2.5,1,3.25,96,2.75,48,-0.5,2.5,24,2.5,4,3.25,108,1,1,1,1,2,3,2,3,2,3,2,4,2,3,27
Eddie,10-45-LE,2,17/12/2020,B,LR,M,E2,GDBUK,18/03/2019,05/10/2020,11/06/2021,249 days,GD,2,Success,Success,13:10:31,00:14:25,5,1,5,,1,1,1,4,4,3,2,3,3,3,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,3,4,4,2,3,4,3,2,2,2,6,2,remains sitting,None,3,1,1,2,4,1,1,2,4,1,1,1,1,1,1,2,2,No,1,1,3,2,4,2,1,1,1,No,4,4,1,1,2,4,1,3,5,25,1,1,,3,24,1.5,0,0.5,0.5,3.25,96,3,72,-0.25,2,12,2.5,4,2,12,1.75,4,1,1,2,3,2,3,1.5,2,2,4,1,3,24
Zodiac,04-04-LZ,2,16/07/2019,B,LR,M,Z1,Private breeder,06/04/2018,24/04/2019,25/10/2019,184 days,GD,2,Success,Success,14:22:57,00:14:59,2,4,1,1,2,2,2,2,4,3,4,3,2,3,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,2,2,3,4,1,1,2,3,3,3,4,4,walked around and lay down and walked around again,None,3,1,2,2,6,2,1,4,2,1,1,1,1,1,1,1,2,No,1,1,3,4,5,1,1,1,1,No,4,4,2,4,3,9,1,5,1.5,2,1.5,2,-1,3.666666667,48,1.25,0,2.5,1.833333333,2.75,48,1.75,6,-1,2.75,48,4,12,1.25,2,1.25,2,1,1,2,3,2,3,2.5,4,2.333333333,5,0,3.666666667,48
Junior,10-11-LJ,2,09/01/2020,A,LR,M,J1,IGDB,03/07/2018,07/10/2019,27/07/2020,294 days,GD,2,Success,Success,15:05:43,00:14:11,3,5,1,1,2,2,2,1,3,4,4,4,4,3,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,3,3,4,2,2,2,2,2,3,6,5,"Sitting, going down, jumps up and then lies down again. Very unsettled.",Righ,3,1,2,2,5,1,1,4,1,1,1,2,1,1,1,1,1,No,1,1,3,3,5,2,1,3,1,No,4,4,2,4,2.5,6,0.5,2,2,3,1,1,0,3.666666667,48,1.75,0,0,0,3.25,108,2,16,-1.25,3,60,3,5,1,1,1.25,2,1,1,2,3,2,3,2,3,3,15,1,3.333333333,36
Joy,10-12-LJ,2,18/12/2019,A,LR,F,J1,IGDB,03/07/2018,07/10/2019,08/06/2020,245 days,GD,2,Success,Success,12:20:35,00:15:42,2,5,1,1,3,3,2,2,1,2,4,4,4,2,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,4,3,1,1,3,4,5,2,4,6,4,Looking back and forth,None,3,3,1,2,7,3,1,1,2,5,1,1,3,3,3,3,3,No,2,1,5,3,5,1,1,3,3,No,4,6,2.5,6,3,8,0.5,2,1.5,2,2,3,-2,2.333333333,8,1.5,0,1,0,3,48,3.25,60,0.25,2.5,24,5,21,2.75,36,1.75,6,3.666666667,45,3.5,10,3,5,2,3,3.666666667,45,0,4,60
Minnie,12-02-LM,2,19/02/2020,A,LR,F,M1,IGDB,25/08/2018,09/12/2019,21/07/2020,225 days,GD,2,Success,Success,13:58:42,00:14:11,3,4,2,1,1,1,1,2,2,4,4,1,4,4,No,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No,2,3,2,4,1,3,2,4,2,4,6,4,Sits patiently for the duration,Righ,3,1,2,2,4,1,1,5,2,1,1,1,1,1,1,1,1,No,1,2,3,2,5,1,1,,1,No,4,4,1,1,3,8,2,7,2.5,6,1,1,0,3.333333333,32,2.25,0,2.5,0,2.75,48,2.5,24,-0.25,2.75,48,2.5,4,0.75,0,1.25,2,1,1,2,3,2.5,6,2,4,3,5,0,3,24
Vaughan,04-11-LV,2,21/06/2021,A,LR,M,V1,IGDB,11/06/2019,07/04/2021,27/08/2021,142 days,AD,1,Success,Success,13:21:16,00:15:39,3,4,2,2,1,1,1,2,4,3,4,4,4,4,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,5,3,4,5,1,2,2,2,2,2,5,5,Unsettled - constantly shifting position and jumps up,Left,3,1,3,2,4,1,1,1,2,1,1,1,1,1,1,1,2,No,1,1,3,4,5,1,2,1,1,No,4,4,1,1,2,4,1,3,2.5,6,1.5,2,1,3.666666667,48,2,0,0,0,4.25,300,1.75,8,-2.5,3.25,90,2.5,4,2,8,1.25,2,1,1,2,3,2,3,2.5,4,2.333333333,5,-1,3.666666667,48
Yani,04-12-LY,2,21/06/2021,A,LRxGR,F,Y1,IGDB,25/09/2019,07/04/2021,25/08/2021,140 days,AD,1,Success,Success,13:45:48,00:15:19,3,5,1,1,1,1,1,3,1,2,2,1,4,3,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,3,2,5,2,2,3,4,3,4,6,4,Jumps up when handler first gets the kong. Then unsettled. Interaction recording split between first and second videos. ,None,3,2,1,2,5,3,1,4,3,2,1,2,1,1,1,1,2,No,1,1,3,3,5,1,3,1,1,No,4,4,1,1,3.5,12,2.5,11,2,3,2,3,-2,1.666666667,4,1.75,0,1,0,3.5,120,2.75,48,-0.75,2.5,24,4,15,1.25,2,1.75,6,1.333333333,2,2,3,2,3,2,3,2.333333333,5,-2,3.333333333,36
Yorkie,04-13-LY,2,21/06/2021,A,LRxGR,M,Y1,IGDB,26/09/2019,07/04/2021,10/12/2021,247 days,GD,2,Success,Success,12:18:32,00:14:35,3,5,2,1,2,1,1,1,3,4,3,4,4,3,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,3,3,2,3,2,1,1,2,2,2,6,4,"Goes from standing, to sitting to laying down, slight whining. No undesired behaviour seen for most of it but did jump up while handler walked to her position. Video ends before interaction begins. ",None,3,1,1,2,4,1,2,1,3,3,1,1,1,3,1,2,2,No,2,1,5,5,5,1,2,4,1,No,4,4,1,1,2,4,1,3,2.5,6,1,1,0,3.333333333,36,1.75,0,1,0,2.75,54,1.5,4,-1.25,2.5,24,2.5,4,2.5,32,1.5,3,2.333333333,9,3.5,10,3,5,3,5,3.333333333,20,-1,4.666666667,100
Verona,04-14-LV,2,21/06/2021,A,LR,F,V1,IGDB,11/06/2019,07/04/2021,27/08/2021,142 days,AD,1,Success,Fail,14:10:52,00:15:46,4,3,3,1,1,1,1,2,2,2,4,2,2,3,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,4,2,2,5,2,2,2,5,2,4,4,5,"jumping, pacing, whining, lots of begging",Righ,3,1,2,3,1,1,1,2,2,4,1,1,1,4,1,2,3,No,1,1,4,3,5,1,2,3,,No,5,4,1,1,3,8,2,7,3.5,12,1,1,0,2.666666667,16,1.25,0,2.833333333,1.833333333,3.25,80,2.75,40,-0.5,3.25,90,1,1,2.25,18,1.25,2,3,16,2.5,4,2.5,4,2,3,4,15,-1,4,60
Milo,12-03-LM,2,19/02/2020,A,LR,M,M1,IGDB,25/08/2018,09/12/2019,24/08/2020,259 days,AD,1,Success,Success,15:14:29,00:14:33,3,5,1,2,1,1,1,4,3,4,4,1,4,4,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,No,No,4,3,2,3,1,2,2,2,2,3,4,4,"tail wagging, shifts position every now and then, antsy",Both,3,1,2,2,4,1,1,4,2,1,1,2,1,1,1,1,1,No,1,1,3,3,4,3,1,,1,No,4,3,1,1,2.5,6,1.5,5,2,3,1.5,2,1,3.666666667,48,2,0,1,0,3,72,1.75,8,-1.25,2.75,48,2.5,4,1,1,1.5,4,1,1,2,3,2,3,2,3,2.5,4,2,3.333333333,36
