Name,Code,Data Collection Number,Data Collection Date,Assessor,Breed,Sex,Litter,Source,DOB,DOA,End Date,Duration,Status,Label,Outcome,BT Start,BT Duration,Familiarisation-Response [Oriented to Handler],Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Response,Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Response,Sitting-Response,Lying-Response,Lying-Settled,Body check-Table,Body check-Response,Body check-General [Mouths],Body check-General [Licks],Tea Towel-First Response [Indifferent],Tea Towel-First Response [Change from Neutral],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea Towel-Second Response [Indifferent],Tea Towel-Second Response [Turns head],Tea Towel-Second Response [Change from Neutral],Tea Towel-Second Response [Attempts to/Removes towel by moving],Tea Towel-Second Response [Attempts to/Removes towel with mouth],Tea Towel-Second Response [Plays],Distractions-First Response [Teddy],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Teddy],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Human,Kong-Presentation-Response,Behaviour description,Kong-Interaction-Lateralisation,Kong-Interaction-Response to stimulus,Kong-Interaction-Response to handler,Kong-Interaction-Back,Kong-Return-Handler,Dog-Response,Dog-Call Back Response,Crate-Entering,Crate-Behaviours [Settled],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Actively Seeking Attention],Crate-Behaviours [Digging],Crate-Behaviours [Nudging Crate],Crate-Behaviours [Pawing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Self-Modulation,Crate-Stress,Crate-Urinating,Petting-Handler-Stimulus,Petting-Handler-Holding dog,Petting-Confidence-During,Petting-Responsiveness-After,Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Pacing],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Reunion-Response,Noise-Confidence,S-Walking-Pull_mean,S-Walking-Pull_prod,S-Distractions-Pull_mean,S-Distractions-Pull_prod,S-Walking-Distractions-Pull_mean,S-Walking-Distractions-Pull_prod,S-Familiarisation-Handler_mean,S-Familiarisation-Handler_prod,S-Call-Response_mean,S-Call-Response_prod,S-Familiarization-Dog-Call,S-Obedience_mean,S-Obedience_prod,S-Sensitivity_mean,S-Sensitivity_prod,S-Tea Towel-First Response,S-Tea Towel-Second Response,S-Distractions-First Response_mean,S-Distractions-First Response_prod,S-Distractions-Second Response_mean,S-Distractions-Second Response_prod,S-Distractions-Difference_mean,S-Kong-Response_mean,S-Kong-Response_prod,S-Dog-Distraction_mean,S-Dog-Distraction_prod,S-Crate-Response_mean,S-Crate-Response_prod,S-Crate-Stimulus_mean,S-Crate-Stimulus_prod,S-Crate-Handler_mean,S-Crate-Handler_prod,S-Petting-Stimulus-During_mean,S-Petting-Stimulus-During_prod,S-Petting-Engagement-During_mean,S-Petting-Engagement-During_prod,S-Petting-After_mean,S-Petting-After_prod,S-Isolation-Handler_mean,S-Isolation-Handler_prod,S-Isolation-Stimulus,S-Sociability_mean,S-Sociability_prod
Earl,04-02-LE,1,2019-05-20,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,1.0,Success,15:28:25,0:15:18,5.0,1.0,1.0,,1.0,2.0,1.0,3.0,3.0,4.0,2.0,2.0,,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,No,Yes,No,No,No,1,3,4,1,4,3.0,3.0,4.0,3.0,2.0,4.0,2.0,"dog sat and waited, looked away once",Left,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,Yes,1.0,1.0,3.0,4.0,2.0,3.0,1.0,1.0,1.0,No,4.0,4.0,1.5,2.0,2.5,6.0,1.0,4.0,3.0,5.0,1.0,1.0,,3.0,24.0,1.0,0.0,2.5,0.5,2.25,12,3.5,144.0,1.25,2.0,12.0,2.5,4.0,2.0,12.0,1.75,6.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,1.3333333333333333,2.0,2.0,3.6666666666666665,48.0
Earl,04-02-LE,2,2019-07-03,B,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-29,219 days,AD,1.0,Success,14:34:35,0:16:56,4.0,2.0,1.0,2.0,1.0,1.0,1.0,3.0,4.0,2.0,1.0,2.0,2.0,3.0,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,1,3,4,3,3,3.0,3.0,3.0,2.0,2.0,4.0,2.0,settled,Left,3.0,1.0,2.0,2.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,4.0,1.0,1.0,1.0,1.0,No,4.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,2.5,4.0,1.5,2.0,1.0,2.333333333333333,8.0,1.25,0.0,0.5,0.5,2.75,36,3.0,81.0,0.25,2.25,24.0,2.5,4.0,2.0,12.0,1.5,3.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.0,4.0,0.0,3.6666666666666665,48.0
Douglas,04-03-LD,1,2019-05-20,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,0.0,Fail,13:36:29,0:15:12,2.0,4.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,3.0,1.0,3.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes,No,4,3,3,6,1,2.0,2.0,6.0,3.0,3.0,6.0,5.0,"Attempted to get the kong as soon as handler had it in her hands, sat very fixated on kong, jumping up at handler toward end, and very eager throughout the concentration phase ",Both,4.0,1.0,3.0,3.0,6.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,3.0,No,1.0,1.0,4.0,5.0,3.0,2.0,1.0,2.0,1.0,No,4.0,4.0,1.0,1.0,3.0,9.0,2.0,8.0,2.0,4.0,1.0,1.0,0.0,3.0,24.0,1.5,0.0,2.5,1.8333333333333333,4.0,216,2.75,24.0,-1.25,3.75,180.0,3.5,6.0,2.5,27.0,1.5,4.0,1.6666666666666667,3.0,2.5,4.0,2.5,4.0,3.0,5.0,2.0,6.0,1.0,4.333333333333333,80.0
Douglas,04-03-LD,2,2019-07-04,A,LRx,M,D1,IGDB,2018-02-11,2019-04-24,2019-08-06,104 days,W,0.0,Fail,14:31:54,0:17:35,1.0,5.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,2.0,3.0,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,3,2,3,6,2,2.0,3.0,6.0,4.0,4.0,4.0,5.0,"Overly excited, mouthing at and jumping at handler for the kong. Eager to receive and struggles to maintain composure",Both,4.0,3.0,5.0,4.0,6.0,2.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,3.0,2.0,1.0,1.0,1.0,No,4.0,4.0,1.0,1.0,4.0,16.0,3.0,15.0,1.0,1.0,1.5,2.0,-1.0,2.6666666666666665,12.0,1.25,0.0,1.8333333333333333,2.5,3.5,108,3.25,72.0,-0.25,4.5,400.0,4.0,12.0,1.75,8.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,1.6666666666666667,3.0,1.0,3.6666666666666665,48.0
Emmy,04-08-LE,1,2019-06-18,B,LRx,F,E1,IGDB,2018-03-12,2019-04-24,2019-08-19,117 days,W,0.0,Fail,14:24:05,0:16:39,3.0,3.0,2.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,4.0,3.0,,3.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,4,3,3,4,3,3.0,3.0,3.0,2.0,2.0,4.0,2.0,"took a while to sit, then stands, then dog walks away eventually towards the end for a little while handler encourages back with treat",Left,3.0,1.0,1.0,2.0,5.0,2.0,2.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,2.0,3.0,3.0,No,1.0,1.0,3.0,4.0,3.0,2.0,1.0,3.0,1.0,No,4.0,4.0,1.0,1.0,2.0,4.0,1.0,3.0,2.5,6.0,1.5,2.0,-1.0,2.333333333333333,8.0,1.0,0.0,3.5,3.5,3.5,144,3.0,81.0,-0.5,2.0,12.0,3.5,10.0,2.75,54.0,1.5,3.0,2.6666666666666665,18.0,2.0,3.0,2.0,3.0,2.5,4.0,2.333333333333333,9.0,1.0,3.6666666666666665,48.0
Emmy,04-08-LE,2,2019-08-12,B,LRx,F,E1,IGDB,2018-03-12,2019-04-24,2019-08-19,117 days,W,0.0,Fail,14:21:07,0:17:43,2.0,4.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,No,No,No,Yes,Yes,Yes,No,No,No,Yes,Yes,Yes,No,No,1,4,4,3,2,3.0,2.0,2.0,1.0,1.0,4.0,2.0,sits but looks away regularly,Both,3.0,2.0,2.0,2.0,4.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,No,1.0,1.0,3.0,4.0,3.0,2.0,1.0,2.0,1.0,No,4.0,5.0,1.0,1.0,1.0,1.0,0.0,0.0,1.5,2.0,1.0,1.0,0.0,4.0,64.0,1.25,0.0,1.6666666666666667,1.6666666666666667,3.0,48,2.25,24.0,-0.75,2.25,24.0,2.5,4.0,1.75,8.0,1.5,3.0,1.6666666666666667,4.0,2.0,3.0,2.0,3.0,2.5,4.0,2.0,6.0,1.0,3.6666666666666665,48.0
Fargo,04-05-LF,1,2019-05-23,A,LR,M,F1,IGDB,2018-03-16,2019-04-24,2019-11-25,215 days,GD,2.0,Success,13:54:52,0:14:32,3.0,4.0,3.0,1.0,3.0,2.0,1.0,3.0,2.0,3.0,4.0,2.0,4.0,3.0,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,6,2,3,2,2,2.0,2.0,3.0,3.0,3.0,4.0,4.0,Does lift hindquarters but sits back down without any handler intervention. Stares with profound interest but maintains good composure,Righ,3.0,1.0,1.0,1.0,6.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,3.0,4.0,1.0,2.0,,1.0,No,4.0,4.0,1.5,2.0,3.0,9.0,1.5,7.0,3.0,9.0,1.5,2.0,-1.0,3.0,24.0,1.75,0.0,0.5,0.0,3.25,72,2.25,24.0,-1.0,2.25,12.0,4.0,12.0,1.25,2.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.5,4.0,-1.0,3.333333333333333,36.0
Fargo,04-05-LF,2,2019-07-03,A,LR,M,F1,IGDB,2018-03-16,2019-04-24,2019-11-25,215 days,GD,2.0,Success,15:09:06,0:16:39,2.0,4.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,No,No,Yes,Yes,No,No,1,2,2,4,2,2.0,2.0,4.0,2.0,2.0,4.0,4.0,"Breaks sit throughout, circles handler and also tries to exhibit good behaviour to get the handler to give the kong (lies down)",Righ,3.0,1.0,2.0,2.0,6.0,,1.0,3.0,1.0,1.0,1.0,2.0,1.0,,1.0,1.0,2.0,No,1.0,1.0,2.0,4.0,4.0,1.0,1.0,1.0,1.0,No,4.0,3.0,1.0,1.0,2.0,4.0,1.0,3.0,1.5,2.0,1.0,1.0,,2.6666666666666665,12.0,1.75,0.0,1.0,1.1666666666666667,2.25,16,2.5,32.0,0.25,2.75,48.0,6.0,6.0,1.5,4.0,1.25,2.0,1.0,1.0,1.5,2.0,1.5,2.0,2.5,4.0,2.0,4.0,0.0,3.333333333333333,32.0
Elf,04-07-LE,1,2019-05-22,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-25,215 days,GD,2.0,Success,15:27:46,0:15:39,4.0,3.0,2.0,1.0,3.0,1.0,1.0,2.0,4.0,3.0,1.0,1.0,4.0,3.0,No,No,No,Yes,Yes,No,No,No,No,No,Yes,No,No,No,3,2,3,5,2,2.0,2.0,5.0,3.0,3.0,4.0,4.0,"lifts hindquarters briefly, yawns, intense start, whine, gets up and explores when he feels like he is not going to be getting it. ",None,3.0,3.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,3.0,3.0,No,1.0,1.0,4.0,6.0,4.0,1.0,1.0,2.0,1.0,No,5.0,4.0,1.0,1.0,3.0,9.0,2.0,8.0,3.0,8.0,1.0,1.0,0.0,2.6666666666666665,12.0,1.75,0.0,1.0,0.5,3.25,90,2.75,40.0,-0.5,2.5,24.0,1.5,2.0,2.75,36.0,1.75,6.0,1.6666666666666667,4.0,2.5,4.0,2.5,4.0,3.5,6.0,2.333333333333333,8.0,0.0,5.0,120.0
Dugg,05-01-LD,1,2019-05-22,B,LRxGR,M,D1,IGDB,2018-02-11,2019-05-01,2019-10-25,177 days,AD,1.0,Success,14:15:42,0:15:00,1.0,5.0,1.0,2.0,1.0,1.0,1.0,3.0,3.0,2.0,2.0,2.0,2.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,6,2,3,6,5,4.0,4.0,5.0,4.0,5.0,4.0,5.0,"initially sniffed around until dog realised that handler had a kong, then sat, stood and eventually jumped at handler x 3",None,3.0,1.0,1.0,2.0,6.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,3.0,4.0,3.0,3.0,No,1.0,3.0,3.0,4.0,4.0,2.0,2.0,1.0,4.0,No,5.0,4.0,1.0,1.0,4.5,20.0,3.5,19.0,1.0,1.0,2.5,6.0,-1.0,2.333333333333333,12.0,1.25,0.0,2.5,2.5,4.25,216,4.5,400.0,0.25,2.75,30.0,4.5,18.0,3.25,108.0,1.25,2.0,3.333333333333333,36.0,2.0,3.0,3.0,9.0,3.5,12.0,3.0,16.0,0.0,4.0,60.0
Dugg,05-01-LD,2,2019-07-17,B,LRxGR,M,D1,IGDB,2018-02-11,2019-05-01,2019-10-25,177 days,AD,1.0,Success,14:50:56,0:12:48,2.0,4.0,2.0,,2.0,2.0,1.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,3,3,1,4,2,3.0,3.0,3.0,3.0,2.0,4.0,2.0,would look away only briefly ,Left,3.0,1.0,1.0,2.0,5.0,,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,No,2.0,1.0,4.0,5.0,3.0,2.0,2.0,3.0,2.0,No,5.0,4.0,1.5,2.0,2.5,6.0,1.0,4.0,2.0,4.0,,1.0,,2.6666666666666665,18.0,1.5,0.0,2.5,2.5,2.75,36,2.75,54.0,0.0,2.0,12.0,5.0,5.0,2.75,54.0,2.5,36.0,2.6666666666666665,18.0,3.0,8.0,2.5,4.0,3.0,5.0,2.6666666666666665,18.0,0.0,4.666666666666667,100.0
Elf,04-07-LE,2,2019-07-03,A,LRx,M,E1,IGDB,2018-03-12,2019-04-24,2019-11-25,215 days,GD,2.0,Success,15:39:45,0:15:12,5.0,5.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,3,2,2,6,1,2.0,2.0,2.0,3.0,4.0,4.0,4.0,"He is very ""all over the place"" - not sure what to be more excited about - the kong or the assessor or the dog barking. But he is definitely showing high interest in the kong. Lifts hind quarters and stands with tail wagging excitedly, whines and lip smacks",Left,3.0,1.0,1.0,2.0,4.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,3.0,4.0,1.0,2.0,2.0,1.0,No,5.0,4.0,3.5,12.0,3.5,12.0,0.0,0.0,3.0,5.0,1.0,1.0,0.0,3.6666666666666665,48.0,1.75,0.0,2.5,0.3333333333333333,3.25,72,1.75,8.0,-1.5,2.5,24.0,2.5,4.0,1.75,6.0,1.0,1.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.333333333333333,8.0,-1.0,3.6666666666666665,45.0
Flora,05-02-LF,1,2019-05-23,A,LR,F,F1,IGDB,2018-03-16,2019-05-01,2019-12-20,233 days,GD,2.0,Success,14:26:31,0:15:14,2.0,5.0,1.0,1.0,3.0,3.0,2.0,1.0,1.0,3.0,3.0,1.0,4.0,1.0,No,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,3,2,6,6,2,2.0,4.0,6.0,4.0,5.0,6.0,4.0,Whining and doesnt break sit but does nudge forward and backward to gain handlers attention,None,4.0,1.0,2.0,2.0,4.0,1.0,2.0,1.0,1.0,4.0,2.0,1.0,1.0,4.0,2.0,3.0,4.0,No,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,1.0,No,5.0,6.0,2.5,6.0,4.5,20.0,2.0,14.0,1.5,2.0,1.0,1.0,0.0,2.333333333333333,9.0,1.25,0.0,0.5,0.0,4.25,216,3.5,96.0,-0.75,3.0,64.0,2.5,4.0,3.25,96.0,1.25,2.0,3.333333333333333,32.0,2.0,3.0,2.5,6.0,2.5,6.0,2.333333333333333,9.0,1.0,3.6666666666666665,45.0
Flora,05-02-LF,2,2019-07-16,A,LR,F,F1,IGDB,2018-03-16,2019-05-01,2019-12-20,233 days,GD,2.0,Success,13:34:50,0:22:23,1.0,5.0,1.0,1.0,3.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,4.0,4.0,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,1,3,3,5,1,2.0,3.0,2.0,2.0,4.0,6.0,2.0,Well behaved - good self modulation,Left,3.0,1.0,1.0,2.0,7.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,3.0,4.0,1.0,1.0,,1.0,No,4.0,6.0,2.5,6.0,3.0,8.0,0.5,2.0,1.0,1.0,1.5,2.0,-1.0,3.333333333333333,36.0,2.0,0.0,1.1666666666666667,0.5,3.0,45,2.0,12.0,-1.0,2.0,12.0,4.5,14.0,1.5,4.0,1.25,2.0,1.0,1.0,2.0,3.0,2.0,3.0,2.0,3.0,2.5,4.0,0.0,3.333333333333333,36.0
Fawn,05-03-LF,1,2019-05-29,B,LR,F,F1,IGDB,2018-03-16,2019-05-01,2019-11-25,208 days,GD,2.0,Success,14:58:17,0:16:42,1.0,5.0,1.0,,3.0,3.0,2.0,2.0,4.0,3.0,3.0,,4.0,3.0,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6,4,5,6,4,5.0,5.0,6.0,4.0,5.0,7.0,4.0,"jumped once when handler got given the kong, sat in front then fine, kept looking over briefly, got up and stood beside the handler",None,3.0,3.0,1.0,2.0,7.0,3.0,1.0,1.0,3.0,2.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,No,2.0,1.0,5.0,6.0,,2.0,1.0,1.0,1.0,No,5.0,6.0,2.5,6.0,4.5,20.0,2.0,14.0,1.0,1.0,3.0,3.0,,3.333333333333333,36.0,2.0,0.0,3.5,3.5,5.25,720,5.0,600.0,-0.25,2.5,24.0,5.0,21.0,2.25,16.0,1.75,6.0,1.3333333333333333,2.0,3.5,10.0,3.0,5.0,3.5,6.0,1.0,1.0,1.0,5.333333333333333,150.0
Zeb,05-04-LZ,1,2019-05-22,A,LR,M,Z1,Private breeder,2018-04-06,2019-05-01,2019-08-06,97 days,W,0.0,Fail,14:51:27,0:15:38,5.0,2.0,1.0,1.0,2.0,1.0,1.0,2.0,4.0,4.0,4.0,4.0,,3.0,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,3,2,2,6,1,2.0,4.0,5.0,3.0,5.0,4.0,4.0,"Didnt want to sit at first and once he saw the handler had treats was more obsessed with treats, But before that he was definitely heavily enthralled with the kong. No seriously inappropriate behaviour shown ",Righ,3.0,1.0,1.0,2.0,5.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,No,1.0,1.0,3.0,4.0,4.0,3.0,1.0,1.0,1.0,No,4.0,4.0,1.0,1.0,4.0,15.0,3.0,14.0,3.0,5.0,2.0,3.0,-2.0,4.0,64.0,1.0,0.0,0.0,0.0,3.25,72,3.0,40.0,-0.25,2.5,24.0,4.0,15.0,1.5,4.0,1.75,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.0,4.0,2.0,3.6666666666666665,48.0
Zeb,05-04-LZ,2,2019-07-17,A,LR,M,Z1,Private breeder,2018-04-06,2019-05-01,2019-08-06,97 days,W,0.0,Fail,14:11:54,0:15:55,1.0,5.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,1.0,2.0,3.0,1.0,4.0,No,No,No,Yes,No,No,No,No,No,No,Yes,No,No,No,3,2,3,6,1,2.0,2.0,6.0,3.0,5.0,4.0,5.0,Jumps up twice during first presentation but maintains sit during the concentration phase - still quite enthralled though,Left,3.0,3.0,3.0,4.0,3.0,2.0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,No,1.0,1.0,3.0,4.0,4.0,3.0,1.0,,1.0,No,2.0,4.0,1.0,1.0,4.0,15.0,3.0,14.0,1.0,1.0,1.5,2.0,-1.0,2.333333333333333,8.0,1.25,0.0,0.5,0.5,3.5,108,2.75,24.0,-0.75,3.75,180.0,2.5,6.0,2.0,8.0,1.75,4.0,1.0,1.0,2.0,3.0,2.0,3.0,2.5,4.0,2.5,4.0,2.0,3.0,24.0
Fawn,05-03-LF,2,2019-07-17,B,LR,F,F1,IGDB,2018-03-16,2019-05-01,2019-11-25,208 days,GD,2.0,Success,13:35:14,0:15:19,1.0,5.0,1.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,4.0,3.0,4.0,3.0,No,No,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,6,5,6,6,6,5.0,6.0,6.0,4.0,5.0,6.0,4.0,"dog sits, looks briefly away twice",None,3.0,2.0,1.0,2.0,6.0,,1.0,2.0,3.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,No,1.0,1.0,4.0,5.0,4.0,2.0,2.0,2.0,1.0,No,5.0,6.0,3.5,12.0,4.5,20.0,1.0,8.0,1.0,1.0,1.0,1.0,,3.6666666666666665,48.0,1.75,0.0,3.5,3.5,5.75,1080,5.75,1080.0,0.0,2.5,24.0,6.0,6.0,2.0,12.0,1.5,3.0,2.333333333333333,9.0,2.5,4.0,2.5,4.0,3.0,5.0,2.333333333333333,8.0,0.0,4.666666666666667,100.0
