Name,Code,Data Collection Number,Assessor,Breed,Sex,Litter,Source,PR Sup,DOB,DOA,Data Collection Date,End Date,Status,Timestamp,Familiarisation-Response [Exploration],Familiarisation-Response [Waiting],Call Back-Start Time (MM:SS) ,Call Back-Response,Walking-Start Time (MM:SS),Walking-Distractibility,Walking-Pull on leash,Walking-Pull strength,Walking-Initiative,Standing-Start Time (MM:SS) ,Standing-Attempts ,Standing-Response,Sitting-Start Time (MM:SS) ,Sitting-Attempts,Sitting-Response,Lying-Start Time (MM:SS) ,Lying-Attempts,Lying-Response,Lying-Settled,Lying-Finish Time (MM:SS),Body check-Start Time (MM:SS),Body check-Response,Body check-General [Mouths],Body check-General [Licks],Body check-Finish Time (MM:SS) ,Tea Towel-Start Time (MM:SS),Tea Towel-First Response [Indifferent],Tea Towel-First Response [Turns head],Tea Towel-First Response [Attempts to/Removes towel by moving],Tea Towel-First Response [Attempts to/Removes towel with mouth],Tea Towel-First Response [Plays],Tea towel-Second Response [Indifferent],Tea towel-Second Response [Turns head],Tea towel-Second Response [Attempts to/Removes towel by moving],Tea towel-Second Response [Attempts to/Removes towel with mouth],Tea towel-Second Response [Plays],Tea Towel-Finish Time (MM:SS),Distractions-Start Time (MM:SS),Distractions-First Response [Object],Distractions-First Response [Human],Distractions-First Response [Car],Distractions-First Response [Food],Distractions-Second Response [Object],Distractions-Second Response [Human],Distractions-Second Response [Car],Distractions-Second Response [Food],Distractions-Pull on leash,Distractions-Pull strength,Distractions-Finish Time (MM:SS) ,Kong-Concentration-Start Time (MM:SS) ,Kong-Concentration-Response ,Kong-Retrieve-Start Time (MM:SS) ,Kong-Retrieve-Lateralisation,Kong-Retrieve-Response to stimulus,Kong-Retrieve-Response to assessor,Kong-Retrieve-Back,Kong-Retrieve-Finish Time (MM:SS),Dog-Start Time (MM:SS) ,Dog-Response,Dog-Call Back Response,Dog-Finish Time (MM:SS) ,Crate-Start Time (MM:SS) ,Crate-Entering,Crate-Behaviours [Relaxing],Crate-Behaviours [Sniffing/Exploring ],Crate-Behaviours [Attention Seeking],Crate-Behaviours [Digging],Crate-Behaviours [Licking/Mouthing],Crate-Behaviours [Whining],Crate-Behaviours [Barking],Crate-Response,Crate-Urinating,Crate-Finish Time (MM:SS),Petting-Start Time (MM:SS),Petting-Stimulus,Petting-Holding dog,Petting-Finish Time (MM:SS),Isolation-Start Time (MM:SS),Isolation-Response [Time oriented],Isolation-Response [Exploration],Isolation-Response [Unsettled/Locomotion],Isolation-Response [Whining],Isolation-Response [Barking],Isolation-Urinating,Isolation-Finish Time (MM:SS) ,Noise-Time (MM:SS),Jumps,Shakes,Stretches,Whines,Short Barks,Continuous Barks,Growls,Scratches,Grooms,Yawns,Data Collection Date,Data Collection Number,Short Barks Count,Continuous Barks Duration,Continuous Barks Count,Whines Duration,Whines Count,Shakes Count,Jumps Count
Goober,07-01-LG,1,Hazel,LRxGR,M,G,IGDB,Graham,15/04/2018,02/07/2019,29/07/2019,03/02/2020,GD,11/14/2019 17:39:52,4,2,01:11,2,01:27,2,2,1,2,06:54,2,3,03:53,1,4,04:46,7,1,1,07:38,07:46,4,No,No,08:15,08:32,No,Yes,No,Yes,No,No,Yes,No,Yes,Yes,08:51,09:35,6,5,3,5,5,2,2,6,4,4,10:32,10:58,3,11:40,Left,3,1,1,12:05,12:28,4,1,12:58,13:11,1,3,2,1,1,1,1,1,1,No,14:21,14:34,2,Never,14:47,14:55,3,3,2,2,1,No,16:01,16:38,,00:21; 12:57,,11:33; 15:10,11:35,,,,,,29/07/2019,1,1.0,,,2.0,2.0,2.0,
Dugg,05-01-LD,1,Hazel,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,22/05/2019,25/10/2019,AD,1/15/2020 17:17:53,4,1,1:15,3,01:32,1,1,1,3,2:58,1,3,3:40,2,3,4:26,4,1,1,5:27,5:50,3,No,No,6:25,6:37,No,Yes,No,Yes,No,No,Yes,No,Yes,No,7:08,7:42,5,1,2,6,4,2,3,3,3,3,8:39,9:10,4,9:43,None,3,1,2,10:00,10:32,6,2,11:05,12:05,4,1,1,4,1,1,1,4,4,No,12:34,12:47,3,Never,13:12,13:30,4,1,1,1,4,No,14:00,14:35,9:20; 9:21; 9:27,01:23,,na,,12:16-12:30; 13:29-14:00,,,,,22/05/2019,1,,45.0,2.0,,,1.0,3.0
Earl,04-02-LE,1,Con,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,20/05/2019,29/11/2019,AD,1/15/2020 17:21:00,1,3,01:37,,01:40,3,1,1,2,03:41,1,4,02:48,1,4,04:18,1,4,3,05:16,05:55,4,No,No,06:40,06:55,Yes,Yes,No,No,No,Yes,No,No,No,No,07:17,07:46,1,2,3,1,3,2,2,3,2,1,08:20,08:43,3,09:07,,3,1,2,09:21,09:51,3,0,10:18,10:26,1,3,4,1,1,1,1,1,1,No,12:07,12:09,1,Never,12:44,12:52,3,3,1,1,1,No,14:20,15:03,,00:19;  02:05,,na,,,,,,,20/05/2019,1,,,,,,2.0,
Zeb,05-04-LZ,1,Hazel,LR,M,Z,PRV BR,Catherine,06/04/2018,01/05/2019,22/05/2019,06/08/2019,W,1/15/2020 17:49:42,2,3,1:39,1,01:45,1,1,1,2,3:20,1,4,4:02,1,4,4:50,1,4,,5:30,5:52,4,No,No,6:21,6:39,Yes,Yes,No,No,No,Yes,No,No,No,No,7:05,7:31,3,3,2,5,1,2,3,4,2,3,8:20,8:43,3,9:34,Righ,3,1,2,9:52,10:45,4,1,11:05,11:45,2,3,3,1,1,2,1,1,1,No,12:44,12:57,2,Never,13:17,13:33,3,3,1,1,1,No,14:39,15:17,,13:16,,na,,,,,,,22/05/2019,1,,,,,,1.0,
Dugg,05-01-LD,1,Con,LRxGR,M,D,Home bred,Graham,11/02/2018,01/05/2019,22/05/2019,25/10/2019,AD,1/15/2020 17:52:24,4,1,01:16,2,01:33,1,1,1,2,02:56 ,1,4,03:38,2,3,04:26,3,2,3,05:29,05:51,3,No,No,06:27,06:37,No,Yes,Yes,No,No,No,Yes,No,Yes,No,07:08,07:43,5,2,2,6,2,2,3,4,3,3,08:38,09:09,4,09:43 ,None,3,1,1,10:00,10:32,5,2,10:54,11:58 ,3,2,1,3,1,1,4,4,4,No,12:30,12:44,1,Always,13:14,13:28,4,1,1,1,4,No,14:02,14:34,09:30-09:33,01:25,,12:16-12:30,13:29; 13:39; 13:49; 13:51; 13:56,12:16-12:30; 13:41-13:46,na,na,na,na,22/05/2019,1,5.0,19.0,2.0,14.0,1.0,1.0,1.0
Zeb,05-04-LZ,1,Con,LR,M,Z,PRV BR,Catherine,06/04/2018,01/05/2019,22/05/2019,06/08/2019,W,1/15/2020 18:31:42,2,4,01:40,,01:48,1,1,1,2,03:21,1,4,04:01,1,4,04:52,1,4,4,5:30,05:53,3,No,No,06:21,06:40,Yes,Yes,No,No,No,Yes,No,No,No,No,07:05,07:32,3,2,2,6,1,2,3,2,3,3,08:20,08:44,2,09:36,Righ,3,1,2,09:52,10:46,4,2,11:05,11:44,2,3,3,1,2,1,1,1,1,No,12:40,12:56,1,Never,13:21,13:30,3,3,1,1,1,No,14:40,15:18,,13:18,,na,,,,,,,22/05/2019,1,,,,,,1.0,
Earl,04-02-LE,1,Hazel,LRx,M,E,IGDB,Catherine,12/03/2018,24/04/2019,20/05/2019,29/11/2019,AD,1/15/2020 18:35:52,,,1:37,,01:40,1,1,1,2,3:40,1,3,2 :52 ,1,4,4:25,1,4,3,5:15,6:06,3,No,No,6:39,6:54,Yes,Yes,No,No,No,Yes,No,No,No,No,7:18,7:47,1,2,3,1,3,2,2,3,1,1,8:20,8:42,3,9:09,,3,1,2,9:19,9:52,1,0,10:15,10:34,1,2,3,1,1,1,1,1,1,No,12:08,12:10,2,Never,12:44,12:52,2,3,1,1,1,No,14:20,15:04,,00:18; 02:04; 08:03; 12:44,,na,,,,,,,20/05/2019,1,,,,,,4.0,
Elf,04-07-LE,1,Con,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,22/05/2019,25/11/2019,GD,1/16/2020 11:21:18,3,3,1:09,,01:15,2,1,1,2,2:22,1,4,3:12,1,4,4:02,3,2,3,5:26,5:40,3,No,No,6:12,6:45,Yes,Yes,No,No,No,Yes,No,No,No,No,7:11,7:55,3,2,3,5,2,1,2,5,3,2,8:33,08:49,3,09:40,None,3,2,2,09:58,10:28,1,0,11:04,11:17,1,2,4,2,4,1,2,1,2,No,12:13,12:21,3,Never,12:48,13:07,4,1,1,2,1,No,14:20,15:15,,00:34,,11:58;13:59,,,,,,,22/05/2019,1,,,,2.0,2.0,1.0,
Edrick,05-11-LE,1,Hazel,LRx,M,E,IGDB,Rose,12/03/2018,15/05/2019,13/06/2019,09/07/2020,GD,1/16/2020 11:30:30,3,1,00:58,1,1:07,1,1,1,2,2:35,1,3,3:07,1,4,4:41,1,4,3,4:40,4:48,4,No,No,5:22,5:35,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,5:59,6:35,2,4,3,5,2,3,2,3,3,3,7:22,7:48,3,8:28,Righ,3,1,2,8:49,9:10,4,3,9:40,9:52,1,3,1,2,1,1,2,1,2,No,11:05,12:22,2,Never,12:41,11:17,4,1,1,2,1,No,12:11,13:05,05:31; 05:48; 07:06; 11:18,08:59,,10:00; 10:06; 11:54,,,,,,02:55; 03:28; 04:37,13/06/2019,1,,,,3.0,3.0,1.0,4.0
Fawn,05-03-LF,1,Con,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,29/05/2019,25/11/2019,GD,1/16/2020 11:56:35,4,1,01:11,1,01:19 ,1,1,1,2,02:42,1,4,03:16,1,4,3:47,1,4,4,04:49,05:00,3,Yes,Yes,05:38,06:49,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,07:55,08:39,5,3,3,5,3,3,4,4,3,3,09:35,09:51,3,10:30,None,3,1,3,11:06,12:07,6,1,12:31,12:53,1,2,2,1,1,1,1,1,2,No,13:58,13:59,3,Never,14:26,14:37,4,2,1,1,1,No,15:34,16:13,07:58; 11:37,0:25,,na,,,,,,,29/05/2019,1,,,,,,1.0,2.0
Edrick,05-11-LE,1,Con,LRx,M,E,IGDB,Rose,12/03/2018,15/05/2019,13/06/2019,09/07/2020,GD,1/16/2020 12:17:24,3,3,00:58,1,01:07,1,1,1,2,02:36,1,4,03:09,1,4,03:41,1,4,4,04:42,04:48,3,No,No,05:23,05:34,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,06:00,06:36,3,3,3,5,2,1,1,3,2,2,07:22,07:47,3,08:27,,3,1,2,08:50,09:11,4,2,09:39,09:49,1,4,1,1,1,1,2,1,1,No,11:00,11:23,2,Sometimes,12:41,11:20,4,1,1,3,1,No,11:14,13:06,05:50; 07:08; 11:19,na,na,10:03; 10:07; 11:37; 11:56,na,na,na,na,na,na,13/06/2019,1,,,,4.0,4.0,,3.0
Esme,05-13-LE,1,Con,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,13/06/2019,13/12/2019,GD,1/16/2020 12:37:53,2,3,01:37,1,01:41,2,1,1,2,03:02,1,4,03:50,1,4,4:40,1,4,4,05:27,05:38,3,No,No,06:12,06:25,Yes,No,No,No,No,Yes,No,No,No,No,06:54,07:30,3,3,4,5,2,3,2,4,2,2,08:16,08:39,3,09:29,Righ,2,1,1,09:47,10:13,4,2,10:36,11:22,3,1,2,4,2,1,4,4,4,No,12:26,12:31,2,Never,12:45,12:52,3,3,3,3,3,No,13:55,14:27,na,00:18,na,11:37-11:52; 12:00; 12;11; 12:15; 13:05; 13:13; 13:29,12:01; 13:06; 13:11; 13:15,11:38-11:52; 12:14-12:18,na,na,na,na,13/06/2019,1,4.0,18.0,2.0,22.0,8.0,1.0,
Esme,05-13-LE,1,Hazel,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,13/06/2019,13/12/2019,GD,1/16/2020 12:54:48,3,2,1:36,1,01:41,2,1,1,2,3:02,2,3,3:49,1,4,4:40,1,4,3,5:26,5:39,3,No,No,6:11,6:26,Yes,No,No,No,No,Yes,No,No,No,No,6:52,7:30,4,4,4,5,2,2,2,4,2,3,8:17,8:41,3,9:29,Righ,2,1,1,9:47,10:15,4,2,10:47,11:27,3,1,2,3,1,1,1,3,4,No,12:27,12:30,2,Never,12:45,12:54,3,3,1,1,2,No,13:50,14:27,,00:18; 10:01,,na,11:58; 13:05; 13:11; 13:14,11:37-11:54; 12:14- 12:19,,,,,13/06/2019,1,4.0,22.0,2.0,,,2.0,
Fawn,05-03-LF,1,Hazel,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,29/05/2019,25/11/2019,GD,1/16/2020 13:23:33,4,1,1:10,1,01:18,2,2,1,2,2:43,1,4,3:16,1,4,3:47,1,4,3,4:49,5:00,2,Yes,Yes,5:38,6:50,No,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,7:54,8:39,5,3,3,6,2,3,4,5,3,4,9:35,9:51,3,10:30,None,3,2,3,11:06,11:58,6,1,12:35,12:55,1,2,3,1,1,1,1,1,1,No,13:56,13:58,3,Never,14:14,14:39,3,2,1,1,1,No,15:30,16:13,6:44; 7:19; 7:21; 7:35; 7:56; 8:03; 8:12; 9:19; 9:47; 15:33; 15:41,00:25; 00:57; 6:33,,na,,,,,,04:06; 04:24,29/05/2019,1,,,,,,3.0,11.0
Elf,04-07-LE,1,Hazel,LRx,M,E,IGDB,Frances,12/03/2018,24/04/2019,22/05/2019,25/11/2019,GD,1/16/2020 13:40:53,3,1,1:10,,01:14,2,1,1,2,2:17,1,4,3:12,1,3,4:02,3,1,2,5:26,5:39,3,No,No,6:12,6:45,No,Yes,No,No,No,Yes,No,No,No,No,7:13,7:54,3,2,3,5,2,1,2,5,2,3,8:31,8:51,3,0:39,None,3,2,2,9:58,10:26,1,0,10:58,11:20,1,2,2,1,3,1,1,1,1,No,12:17,12:20,2,Never,12:50,13:08,4,1,1,1,1,No,14:17,15:15,,00:34,,na,,,,,,01:19; 03:20; 09:07,22/05/2019,1,,,,,,1.0,
Emmy,04-08-LE,1,Con,LRx,F,E,IGDB,Graham,12/03/2018,24/04/2019,18/06/2019,19/08/2019,W,1/21/2020 17:04:57,3,2,01:12,1,01:18,2,2,2,3,03:02,3,2,05:23,1,4,04:11,1,4,4,06:23,06:30,3,,,07:02,07:18,No,Yes,No,Yes,No,No,Yes,Yes,No,Yes,07:59,08:31,3,2,2,4,2,1,2,2,2,2,09:16,09:38,2,10:29,Left,3,1,2,10:54,11:15,4,1,11:37,11:58,1,2,3,3,1,1,3,2,2,No,13:25,13:29,1,Never,13:43,13:51,4,2,2,4,1,No,15:29,16:09,,00:36,,12:27; 12:37-12:43; 13:07; 14:00; 14:06; 14:22; 14:45; 15:01; 15:19,12:34,,,,,,18/06/2019,1,1.0,,,14.0,9.0,1.0,
Flora,05-02-LF,1,Con,LRxGR,F,F,Home bred,Graham,16/03/2018,01/05/2019,23/05/2019,20/12/2019,GD,1/21/2020 17:30:12,4,1,01:20,1,01:28,3,1,1,2,04:17,2,3,02:30,2,2,03:47,2,3,2,05:00,05:14,2,,,05:51,06:20,Yes,No,No,No,No,Yes,No,No,No,No,07:12,07:52,2,2,3,6,1,2,2,6,3,4,08:22,08:39,3,09: 18,None,3,1,2,09:35,10:02,4,2,10:23,10:44,1,1,3,3,1,1,3,2,3,No,11:51,11:55,1,Never,12:27,12:45,3,3,1,2,1,No,14:22,14:55,,01:05; 06:40,,09:11; 11:06-11:30; 11:40; 14:09,11:31,,,,,,23/05/2019,1,1.0,,,27.0,4.0,2.0,
Ebbi,05-14-LE,1,Con,LRx,F,E,IGDB,Graham,12/03/2018,15/05/2019,13/06/2019,25/10/2019,AD,1/21/2020 17:54:58,4,1,01:09,1,01:14,2,2,2,2,03:19,1,4,04:22,2,4,05:29,2,2,3,07:50,08:01,3,No,No,08:41,08:56,Yes,Yes,No,No,No,No,Yes,Yes,No,No,09:23,09:55,1,2,2,1,1,3,2,1,1,1,10:30,10:54,2,11:33,Left,3,1,1,11:56,12:18,4,1,12:44,12:55,1,4,3,1,1,1,1,1,1,No,14:14,14:19,2,Never,14:34,14:47,4,1,2,1,1,No,15:48,16:23,,00:55; 01:18; 01:34;,,na,,,,,,,13/06/2019,1,,,,,,4.0,
Eliza,05-22-LE,1,Con,is this the same as LRx?,F,E,IGDB,Catherine,12/03/2019,28/05/2019,18/06/2019,12/11/2019,W,1/21/2020 18:16:59,1,4,01:13,,01:19,1,1,1,2,02:30,2,3,03:36,2,3,04:19,1,4,4,05:23,05:33,3,No,No,06:04,06:18,Yes,Yes,Yes,No,No,Yes,No,No,No,No,06:51,07:20,1,2,2,1,2,3,1,2,2,2,08:01,08:20,2,09:11,Righ,3,1,2,09:34,09:56,3,0,10:32,10:40,1,3,3,1,1,1,1,1,1,No,12:11,12:13,1,Never,12:32,12:40,4,1,1,1,1,No,13:45,14:23,,06:15,na,na,na,na,na,na,na,na,18/06/2019,1,,,,,,1.0,
Herbie,07-02-LH,1,Con,LRxGR,M,H,IGDB,Graham,05/11/2018,02/07/2019,29/07/2019,,GD,1/21/2020 18:45:17,1,4,01:19,,01:23,2,1,2,2,02:28,1,4,03:13,2,3,04:05,3,2,3,05:15,05:25,2,No,No,05:57,06:17,Yes,Yes,No,No,No,Yes,No,No,No,No,07:05,07:47,1,3,2,4,4,2,1,6,3,3,08:16,08:44,3,09:08,Both,3,1,2,09:51,10:10,3,0,10:35,10:58,1,3,4,1,1,1,2,1,2,No,12:02,12:14,1,Sometimes,12:44,12:53,3,3,1,1,1,No,13:58,14:28,,01:40,,00:42; 00:55; 01:01-01:11; 05:46; 11:37,,,05:50,,,,29/07/2019,1,,,,14.0,5.0,1.0,
Evie,07-03-LE,1,Con,LRxGR,F,E,IGDB,Rose,03/12/2018,02/07/2019,29/07/2020,02/02/2020,GD,1/21/2020 19:06:39,4,2,01:12,2,01:20,1,1,1,2,02:26,2,3,03:27,4,1,04:38,1,4,3,05:24,05:34,3,No,No,06:07,06:23,Yes,No,No,No,No,Yes,No,No,No,No,06:49,07:20,3,3,2,4,1,1,1,1,2,2,07:55,08:14,3,08:59,Righ,3,2,2,09:53,10:07,4,1,10:48,10:57,1,2,3,1,2,1,1,1,1,No,12:05,12:11,1,Never,12:29,12:36,4,1,1,1,1,No,13:55,14:28,,00:36,,13:40,13:49,,,,,,29/07/2020,1,1.0,,,1.0,1.0,1.0,
Fawn,05-03-LF,2,Hazel,LR,F,F,Home bred,Catherine,16/03/2018,01/05/2019,17/07/2019,25/11/2019,GD,1/21/2020 19:07:24,4,1,00:47,1,00:56,2,3,1,2,2:15,2,3,3:18,1,4,3:50,1,4,3,4:40,4:51,4,No,No,5:13,5:29,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,6:23,7:16,6,3,4,4,3,2,2,3,4,3,8:04,8:40,3,9:10,None,3,2,2,9:21,9:44,7,0,10:30,11:17,1,2,3,1,2,2,1,1,2,No,12:12,12:22,3,Sometimes,12:43,13:01,4,1,2,1,1,No,14:08,14:54,1:37; 10:02,1:24; 14:02,,na,,,,06:48; 10:40; 13:48; 13:56,,03:41,17/07/2019,2,,,,,,2.0,2.0
Zeb,05-04-LZ,2,Hazel,LR,M,Z,PRV BR,Catherine,06/04/2018,01/05/2019,17/07/2019,06/08/2019,W,1/21/2020 19:47:31,4,1,01:40,1,01:46,1,1,1,3,13:01,1,4,4:11,1,4,5:20,1,4,3,6:11,6:39,4,No,No,7:12,7:27,Yes,Yes,No,No,No,Yes,No,No,No,No,8:08,8:44,3,2,3,5,1,2,2,4,2,4,9:12,9:42,4,10:09,,3,2,3,10:32,10:55,2,0,11:24,11:35,1,2,2,1,1,2,1,1,1,No,12:38,12:44,2,Always,13:10,13:26,3,2,1,1,1,No,14:51,15:32,9:34; 9:37; 9:41; 9:35,11:01,,na,,,,,,,17/07/2019,2,,,,,,1.0,4.0
